"EV001",""
"EV002",""
"EV003",""
"EV004",""
"EV005",""
"EV006",""
"EV007",""
"EV008",""
"EV009",""
"EV010",""
"再入室はできません。
それでもよろしいですか？",""
"はい","Yes"
"いいえ","No"
"EV011",""
"鍵がかかっている。","It's locked."
"EV012",""
"EV013",""
"EV014",""
"もう休みますか？",""
"<アル>
『今日はお疲れ様！\n[1]♪』",""
"<アル>
『明日は朝からあの女の人と約束だよね？
　寝坊しないよう起こしてあげる！』",""
"<アル>
『だから安心して、ぐっすり休んでね！』",""
"<アル>
『まだ寝ないの？
　分かった、もうちょっとゆっくりしよっか♪』",""
"<アル>
『今日はお疲れ様！
　また明日も頑張ろうね！』",""
"<アル>
『それじゃあお休み、\n[1]♪』",""
"EV015",""
"EV016",""
"EV017",""
"EV018",""
"<優香>
『準備はできた？
　じゃ、サクッと終わらせちゃおっか♡』",""
"EV019",""
"【注意！】
セーブデータを上書きすると詰む可能性があります。
既存のセーブデータとは、
別の箇所にセーブすることを強くお勧めします。",""
