"EV001",""
"EV002",""
"EV003",""
"EV004",""
"待合室から出るわけにはいかない。","You can't leave the waiting room."
"EV005",""
"EV006",""
"このベッドで一休みできそうだ。
休憩していきますか？","You can rest in this bed. Will you take a nap?"
"はい","Yes"
"いいえ","No"
"EV007",""
"貴方がしばらく控室で時間を過ごしていると、
アナウンスが流れ始める。","After staying in the waiting room for a while,
you heard an announcement."
"『マッチングが成立しました。
　第3試合の時間に試合を開始します。
　番号11、12のプレイヤーは、入場してください。』","""Player matching finished. Players number 11 and 12
 please enter the arena."""
"<アル>
『いよいよだね！ファイト、\n[1]♪』","<Al>
""It's our turn! Fight, \n[1]♪"""
"EV008",""
"『俺は因縁の相手との指名試合だ。
　あの女、こんどこそひぃひぃ言わせてやる…………』","""I have a nominated match coming up. This time I'll
 make that woman squeal for sure!"""
"『まぐれで一度俺に勝ったくらいで、
　散々煽りやがって……！』","""She won our last match purely by fluke and riled me
 up so hard after that...!"""
"男性は静かに闘志を燃やしている。","The man was burning with fighting spirit."
"『コロシアムの仕様について』
コロシアムでは、指名できる対戦相手の場合、
敗北後に指名でリベンジすることにより、
戦闘中、敗北後のセリフが変わります。","『Regarding Colosseum』
After losing to an opponent, their combat and post 
combat lines will fully change when you nominate them 
to a rematch."
"EV009",""
"試合会場に入場しますか？","Will you enter the arena?"
"貴方は対戦相手の女性の姿を見て驚く。","You were taken by surprise the when you saw your
opponent."
"<凛>
『あはは♡お兄さん、びっくりしました？
　実は、お兄さんを指名したのは私です♡』","<Rin>
""Ahaha♡ Did I surprise you? I'm the one who nominated
 you into a match♡"""
"驚く貴方に、
凛はくすくすと笑みを浮かべながら貴方にそう告げる。","Rin said that and giggled at your shocked face."
"<凛>
『お兄さん、
　まだ2階層に着いてからそんなに時間たってませんよね？
　受付での反応がお上りさん丸出しでしたもん♡』","<Rin>
""You've been on the second floor only a short while,
 right? I could tell the moment you talked to the
 receptionist♡"""
"<凛>
『そんなお兄さんになら、らくーに勝てるかなって♪
　闘技場って、
　みんな強いのでそういう相手は貴重なんです♡』","<Rin>
""Since you've just arrived, you make an easy win♪
 Everyone in the arena is powerful, so weak opponents
 like you are precious finds♡"""
"<凛>
『だからぁ、お金を貸して、
　お兄さんにはすぐに参加してもらいたかったんですよ♪』","<Rin>
""That's also why I loaned money to you♡ I wanted to
 get you to participate right away♪"""
"凛は思い通りになったからか、
上機嫌に自分の思惑を貴方に告げていく。","Rin seemed to be in a good mood as she explained her
plot."
"<凛>
『ふふ♡あー、でも思い出したら笑っちゃう♡
　ちょっとか弱い女の子のふりをしたら、
　お兄さんすぐに思い通りになってくれたんですもん♡』","<Rin>
""Ahaha♡ Just recalling it makes me laugh♡ I needed
 to pretend to be a frail girl to make you fall into
 my trap♡"""
"<凛>
『可愛い女の子に強いって言われて、
　舞い上がっちゃったんですよね？』","<Rin>
""Did it excite you when a cute girl called you strong?"""
"<凛>
『か弱い女の子に褒められて、嬉しかったんですよね？
　くすくす♡ちょろいお兄さん♡』","<Rin>
""You felt so happy when I praised you, right?
 Ahaha♡ You were such an easy target♡"""
"<凛>
『ま、これも勉強代だと思って、
　このまま私に負けてください♡』","<Rin>
""You can think of this as a good learning experience♡
 Now go ahead and lose against me♡"""
"<凛>
『7000G、サクッと稼がせてもらいますね♡
　おまけの利子共々、レベルドレイン付きで♡ちゅっ♡』","<Rin>
""You'll need to work hard to pay back the 7000G loan♡
 Not only is there the interest but level drain tax as
 well♡ Smooch♡"""
"凛は余裕の笑みを浮かべながら、
ちゅっと貴方に投げキッスをする。","Rin smiled confidently and blew a kiss at you."
"<アル>
『むー！し、親切な人だと思ってたのに………！
　こ、こんな子返り討ちにしちゃえー！』","<Al>
""Mmmmh! I-I trusted her too! \n[1], we must
 beat up bad people like her!"""
"貴方はアルと同じ気持ちで、
剣を構えながら彼女のことを睨みつける。","You felt the same as Al and glared at Rin with a sword
in your hand."
"<凛>
『やん♡お兄さん、そんな目で睨まないでくださいよ♡
　私、か弱い女の子だから泣いちゃいます♡怖ーい♡』","<Rin>
""Oh no♡ Please don't glare at me like that♡
 I'm a frail girl who might start crying♡
 It's so scary♡"""
"言葉とは裏腹に、
凛は余裕そうな笑みのままわざとらしい猫なで声を出す。","Rin said that in a feeble and girlish voice, but her
confident smile didn't falter even for a moment."
"そんな彼女にいら立ちを抱きつつも、
貴方は剣を構えて突進した。","You had enough of Rin's irritating attitude and charged
at her."
"<凛>
『う、…………こんな、嘘…………』","<Rin>
""Ugh... T-This can't be..."""
"貴方に敗れ、凛はどさりと会場の真ん中で倒れこむ。","Rin fell to the ground after being defeated."
"凛を犯さない","Spare Rin"
"凛を犯す","Level drain Rin"
"<アル>
『えへへ♪\n[1]、優しいね！
　やっぱり、こんなところで無理やりはだめだよね！』","<Al>
""Ehehe♪ \n[1] is so gentle! Violating girls
 isn't good! Even more so at a place like this, right?"""
"貴方がそのまま凛に背を向けると、
アルは嬉しそうにそう話しかけてくる。","Al happily said that when you turned your back to Rin."
"<凛>
『え…………お兄さん、どうして……』","<Rin>
""Eh... Why?"""
"凛は倒れたまま、目を丸くし、呆然とそうつぶやく。","Rin's muttered in surprise with her eyes wide open on
the floor."
"今度から卑怯な真似をやめるように","You need to stop swindling people from now on"
"女の子を犯すのは趣味じゃない","It's not my style to violate girls"
"<凛>
『……分かりましたよ、
　もう一度やって、お兄さんみたいな、
　想定外の人に負けることもあるって分かりましたし。』","<Rin>
""...Okay. Even if I did, I'm sure that I would run
 into someone strong like you before long."""
"<凛>
『もっと、身の丈に合った金策を探すとします……
　…………はぁ…………』","<Rin>
""I'll need to find another way to make money that's
 more fitting for my stature... Sigh..."""
"安堵からか落胆からか、ため息を漏らす彼女を背に、
貴方は会場を後にした。","Rin sighed when you walked out of the arena. You 
weren't sure if it was from relief since you didn't 
lay your hands on her, or from the sorrow of needing
to find a new way to make money."
"<凛>
『あ、なるほど。お兄さん、
　犯すより犯したいという変態マゾなんですね？』","<Rin>
""Oh, I see. You're a masochist pervert who rather is
 violated than do the violating yourself, right?"""
"凛は貴方の言葉に納得したようにそう口にする。","After hearing your answer, Rin said that as if grasping
on some hidden meaning."
"<アル>
『ち、違うよ！確かに\n[1]は女の子に責められて、
　気持ちよさそうにしてることが多いけど………
　た、多分そんなんじゃないよ！』","<Al>
""T-That's not it! I mean, \n[1] looks to
 like it and feel good when girls toy with him... 
 B-But that's probably not true!"""
"凛の言葉にアルが微妙なフォローをいれる。","Al added a weird follow-up after Rin."
"<凛>
『くす♡そんな顔しないでください、
　冗談ですよ、冗談♡』","<Rin>
""Ahaha♡ Please don't make such a face♡ It was just a
 joke♡ A joke♡"""
"貴方の微妙な反応を見て、凛はくすくすと笑みを漏らす。","Rin smiled and giggled after seeing your dubious
reaction."
"<凛>
『自分を倒した相手にこういうのは癪ですけど……
　ありがとうございます、お兄さん。』","<Rin>
""It's a bit annoying to say this when you beat me...
 But thank you."""
"凛は柔らかく微笑んでそう言葉を告げる。
そんな彼女の声に貴方は頷くと、会場を後にした。","After Rin thanked you with a gentle smile, you nodded
back at her and left the arena."
"本当に凛を犯しますか？
【注意！:取り返しがつきません】","Will you really violate Rin?
【Warning: This decision is irreversible.】"
"やめておく","Stop"
"犯す","Violate her"
"<凛>
『う、や、やめて、お兄さん、こないで…………』","<Rin>
""Uh... No... Don't come any closer..."""
"<凛>
『あぁぁ♡んんっ♡んっ♡いやっ♡
　こんな、コロシアムでっ♡いやっ♡やめっ♡』","<Rin>
""Aaah♡ Nnnh♡ Mmmh♡ No♡ Not in front of everyone♡
 No♡ Stop♡"""
