"EV001",""
"EV002",""
"『新しいレベルドレインのイラストが届いてから開きます♡』",""
"『新しいレベルドレインのイラストが届いてから開きます♡
　凛ちゃんに負けてお金がない場合は、
　TRPGの時のように1層に戻ってくださいねー♡
　そこでレベルドレインしてもらえ♡ざーこ♡』",""
"現在準備中です。",""
"EV003",""
"EV004",""
"EV005",""
"EV006",""
"EV007",""
"『営業時間17:00～』","『Business Hours 17:00～』"
"<アル>
『まだ開いてないみたいだね！
　\n[1]、賭け事に興味があったの？』","<Al>
""Looks like the casino isn't open yet! \n[1],
 were you interested in gambling?"""
"うん","Yes"
"むしろバニーガールの方に…","It's the bunny girls..."
"<アル>
『そうなんだ♪
　まぁ、楽しそうだもんね！
　私もロン！とか言ってみたいなぁ……』","<Al>
""Really? Well, it does seem fun♪ I also want to yell
 ""Ron!"" at the table..."""
"<アル>
『え？それは多分違う？
　……そうなの？残念……』","<Al>
""Eh? That's a different thing? ...Oh. I guess I can't
 do that then..."""
"<アル>
『……\n[1]のスケベ。
　そんなんじゃきっと、
　ここに入っても足元をすくわれるよー？』","<Al>
""...\n[1], you perv. I'm sure they'll sweep
 the floor with you if you go inside with that kind of
 intent."""
"<アル>
『そうなってから泣いても遅いんだから！
　……えっちなのは、ほどほどにしときなよ？』","<Al>
""When that happens, it'll be too late to cry! You need
 to do pervy stuff in moderation!"""
"まだ開いていないようだ。","It's not open yet."
"EV008",""
"EV009",""
"EV010",""
"EV011",""
"EV012",""
"EV013",""
"EV014",""
"EV015",""
"階段を昇ったら町が！",""
"階段を上った貴方は、
今までと同じような洞窟があると考えていただけに、
あたりの光景を見渡して驚いた。","You were in a shock after making it up the stairs. What
greeted you at the top wasn't another cave but a town."
"<アル>
『うぇぇ！？
　ま、街！？なんで！？』","<Al>
""Eeeeeh?! I-It's a town?! What?! How?!"""
"アル共々呆気に取られている貴方に、
1人の女性が話しかけてくる。","While you were standing dumbfounded with Al, a nearby
woman called out to you."
"<???>
『おめでとう♪君って、
　そんなにきょろきょろしてるってことは、
　1階層を始めてクリアした子だよね？』","<???>
""Congratulations♪ Since you're looking around so much,
 that must mean you've just cleared the first floor♪"""
"<???>
『ああ、1階層って言うのは、この町の下にある、
　いかにもダンジョン！ってことのことだよ♪
　ここにいる人はみんなそう呼んでるんだ。』","<???>
""Ah. The dungeon below the town is called the first
 floor♪ Or at least that's what everyone in the town
 calls it."""
"まだ驚きから立ち直れず不思議そうな顔をする貴方に、
女性はくすくすと笑いながらそう説明する。","You were still unable to recover from the shock of
finding a town and made weird faces. The woman giggled
at your reactions while she explained."
"<???>
『…………どう？
　下とは雰囲気が全然違って、驚いたでしょ？』","<???>
""What do you think? It's a shocking difference from
 the first floor, right?"""
"楽し気に笑みを浮かべながら、
そう女性は貴方の反応をうかがう。","The woman asked for your impressions with a smile."
"驚いた","It was a shock"
"驚いてない","It wasn't shocking"
"<???>
『ね♪私も最初にここに来た時は、
　夢でも見てるのかなっておどろいたよ。』","<???>
""Right? When I made it here the first time, I thought
 I was dreaming."""
"女性は貴方の反応に、
自身の過去に思いをはせて懐かしむような顔をする。","The woman told you about her own experience after
hearing your answer."
"<???>
『そうなの？意外と予想してた、とか？
　驚かない人って珍しいな～。』","<???>
""Really? Were you expecting something like this?
 Vast majority of people are shocked when they reach
 the town."""
"女性は素直に貴方の言葉を受け止め、
驚いたように目を丸くする。","The woman looked at you in surprise when she heard your
honest impression."
"<???>
『とにかく、始めてってことはこの町のこと、
　何も分からないよね？』","<???>
""Anyhow, since this is the first town you've reached,
 you must not know left from right, correct?"
"<???>
『そんなルーキー君は先輩である私が導いてあげよう♪
　っと、まずは自己紹介か。
　私の名前は篠山未来、よろしくね。』","<???>
""Mr. Rookie, let me give you a tour as your senior♪
 Oh pardon me, I haven't even introduced myself.
 My name is Shinoyama Mirai. Nice to meet you♪"""
