"EV001",""
"『30000経験値稼げたようですね。
　貴方は家畜になってまだ1日目でしょう？
　ちゃんと自分のご主人様に話しかけてください。』",""
"『今貴方が稼いだ経験値は\v[29]です。
　まだ30000に届いていませんね。』",""
"『30000経験値稼げたようですね。お疲れ様でした。
　それでは夜までご自由にお過ごしください。』",""
"
『今貴方が稼いだ経験値は\v[29]です。
　まだ30000に届いていませんね。』",""
"『まるで紙でも斬るかのように敵をなぎ倒していましたね。
　正直ドン引きです。
　貴方、本当に人間ですか？』",""
"<アル>
『た、戦わせてるのは貴方たちなのに！
　そんな言い方酷いよー！
　\n[1]はちゃんと人間だもん！』",""
"EV002",""
"『貴方の戦い方を見ていましたが……
　まるで相手の動きを先読みしているかのような、
　洗練された動きでしたね。』",""
"『正直驚きました。
　貴方は現実では名の知れた格闘家、
　だったりしたのですか？』",""
"<アル>
『一度倒したら、
　後は簡単に倒せるようになるもんね！
　\n[1]、格闘家だったの？』",""
"そうだ",""
"違う",""
"<アル>
『おー！そうだったんだ！
　……でもその割には、初めての敵にいいように弄ばれて、
　イかされちゃうことが多いような…………』",""
"貴方は怪訝そうな顔でそう言うアルから目をそらした。",""
"<アル>
『だよね♪
　\n[1]、よく敵の女の子にイかされちゃってるし！
　格闘家ならそんなことあるはずないもんね♪』",""
"…反応に困る納得の仕方をされてしまった。",""
"小悪魔B",""
"『そこまで！回復して差し上げますね。
　次が負けないように気を付けてください。
　貴方なら勝てるはずです。』",""
"形を持たぬ者01",""
"<形を持たぬ者>
『ぎゅぅぉぉぉぉ！！』",""
"<プレイヤー>
『ぐぅぅ……こ、この程度……
　ご主人様のためにぃぃ！！』",""
"<アル>
『す、すごい気迫だね……！』",""
"冒険者1",""
"EV010",""
"<メイドサキュバスA>
『今貴方が稼いだ経験値は\v[29]です。
　ノルマである30000をクリアしましたね。
　正直異常な早さですが…………』","<Maid Succubus A>
""You've currently earned \v[29] EXP.
 That means you've cleared the 30,000 EXP quota.
 Honestly, you did it with terrifying speed..."""
"<メイドサキュバスA>
『早いことに不都合はありません。
　本来ならここから自由時間なのですが、
　初日ですので今日のところは部屋に向かってください。』","<Maid Succubus A>
""But such speed is not a problem. Normally you would
 have free time now, but as this is your first day,
 please head to your room."""
"<メイドサキュバスA>
『私もすぐに貴方の部屋に向かいますので。
　天国を味わわせて差し上げますから、
　期待してくださっていいですよ♡』","<Maid Succubus A>
""I'll also join you shortly. Please look forward to
 it as I'll make you taste the heaven♡"""
"メイドサキュバスはにこりと微笑む。
その彼女の笑みに、
否が応でも貴方は胸を高鳴らせてしまった。","The maid succubus grinned at you, and you could feel
your heart starting to race at the sight of her smile
whether you wanted it or not."
"<アル>
『経験値を頑張って稼いだけど……
　今からこれ、搾り取られちゃうんだよね？
　なんとかならないかなぁ…………』","<Al>
""We worked hard to earn EXP... But they're going to
 drain it next, right? I wonder if there's anything
 we can do..."""
"アルがそううんうんと唸っているが、
そう簡単に解決策は見つからない。
今日のところは従うしかないだろう。",""
"<アル>
『そうだよね……
　明日からは自由な時間ももらえるみたいだし、
　何とかする方法は明日さがそっか！』",""
"そう結論付けたアルに貴方は頷き、
自分の割り振られた部屋へと戻っていった。",""
"<メイドサキュバスA>
『今貴方が稼いだ経験値は\v[29]です。
　まだ30000に届いていませんね。
　もう少し頑張ってください♡』",""
"<メイドサキュバスB>
『今アンタが稼いだ経験値は\v[29]ね♪
　おー、凄いじゃん。こんなに早くそんなに稼ぐなんて♡
　正直かなり意外だけど………』",""
"<メイドサキュバスB>
『ま、早ければ早いほどいいよね♪
　そんだけ早かったら、
　明日からは結構多めに自由時間取れると思うよ？』",""
