"EV001",""
"<優香>
『なに？私はまだ動けないけど……
　…心配なんていらないからね。
　さ、さっさとどっか行って！』","<Yuuka>
""What? I can't move yet, and I don't need your worry.
 Just go away!"""
"<優香>
『なに？私に犯されたくなったの？
　もうちょっと待ってなさい、
　もっと強くなってから望み通り負かしてあげるから♡』","<Yuuka>
""What? Do you want me to violate you now?
 Just wait a little longer♡ I'll get stronger
 and beat you just like you want♡"""
"<優香>
『うぅぅ…………』","<Yuuka>
""Uuuh..."""
"EV002",""
"<優香>
「お、やっと来た来た♪
　コロシアムで3勝したって聞いたから、
　ここで待ってればそのうち来ると思ってたんだよね♪」","<Yuuka>
""Oh, you're finally here♪ I heard that you won three
 matches at the Colosseum, so I knew I would run into
 you here♪"""
"貴方の姿を見かけて、
くすくすと笑みを浮かべながら優香が声をかけてくる。","Yuuka called you out with a grin after she spotted you."
"<アル>
『この子が\n[1]のことを待ってた？
　…………なんだろう、
　あんまりいい予感はしないんだけど……」","<Al>
""Has she been waiting for us...? I'm getting a bad
 feeling about this."""
"貴方はそう言いながら顔をしかめるアルと同じ思いで、
警戒しながら何か用かと優香に尋ねた。","You felt the same as Al and asked Yuuka what's her
business."
"この女が自分を待っていた…絶対にろくなことじゃない。
貴方はそう警戒しながら何か用かと優香に尋ねた。","You got a bad feeling when you heard that Yuuka had
been waiting for you. You cautiously asked what was
her business."
"<優香>
『アンタさ、コロシアムで戦ったとき、
　なかなかいい剣持ってたよね？
　その剣、私がもらってあげる♡」","<Yuuka>
""I noticed that you have a pretty good sword when we
 fought at the Colosseum. I want you to give it to
 me♡"""
"優香は嗜虐的な笑みを浮かべたままそう言って、
貴方に手を伸ばした。","Yuuka demanded your weapon with a sadistic grin as she
extended her hand."
"<アル>
『や、やっぱりいいことじゃなかった…！
　こ、これカツアゲだよ！？」","<Yuuka>
""A-As I thought, she's up to no good!
 \n[1], she's trying to steal your sword!"""
"アルはそう焦ったような声を出す。
実際、彼女の要求は横暴極まりないものだ。","Al shouted in a fluster after Yuuka's high-handed
demand."
"やっぱり碌なことじゃなかった…
貴方はため息をつきそうになるのを堪えるが、
彼女の横暴な要求に腹立たしさを覚える。","Yuuka wasn't satisfied with just beating you at the
arena. You held back your urge to sigh and got angry
at her one-sided demand."
"<優香>
『あ、断ったら力づくで奪うだけだから♡
　ひどい目にあいたくなかったら、私にその剣渡してよ。」","<Yuuka>
""Oh, and if you refuse... I'll take it by force♡
 You better hand over the sword unless you want to
 have a rough time♡"""
"<アル>
『横暴だよー！？
　ど、ど、どうしよう…………あ、そうだ！
　バンガードなら助けてくれるんじゃないかな！」","<Yuuka>
""She will resort to violence?! \n[1],
 what should we do?! ...Ah, I know!
 The Vanguard can help us with this!"""
