"EV001",""
"EV002",""
"EV003",""
"EV004",""
"EV005",""
"EV006",""
"EV007",""
"EV008",""
"EV009",""
"EV010",""
"EV011",""
"EV012",""
"EV013",""
"EV014",""
"EV015",""
"<囚人>
『ねぇ、そこのお兄さん？
　ちょっとこっちに来てくれない？
　少しだけ、私のお話を聞いてほしいの。』","<Prisoner>
""Hey, can you come a bit closer? I'd like you to listen
 to me for a moment."""
"唐突に牢屋の中から、
貴方は女の囚人に声を掛けられる。
そちらの方を向くと、妖艶な女性が牢の中でほほ笑んでいた。","You got suddenly called out from the prison. When you
looked over, you saw a voluptuous woman smiling and
sitting in the cell."
"貴方はそんな女性に誘われるがまま、
牢屋に近づいてしまう。
相手は牢の中、自分には何もできないはずだとそう考える。","You believed that there's nothing the woman can do to 
you from behind the bars, so you went closer like she
asked."
"<囚人>
『うふふ♡ありがと♪
　実はね、私は冤罪だって誰かに聞いてほしかったのよ。
　ここ、めったに看守さんも来てくれないしね。』","<Prisoner>
""Ahaha♡ Thanks for coming♪ I wanted someone to listen 
 to my story. I've been imprisoned under false charges
 and no one believes me."""
"貴方が近づくと、
牢の中の女性は二コリを笑みを深くする。
その笑みに危機感が警鐘を鳴らすも、
妖しげな魅力を纏った女性に思わずのどがなってしまう。","The woman's smile grew wider as you drew closer. Alarm
bells were ringing in your mind at the sight of the
smile, but you also ended unconsciously gulping because
of the seductive charm she possessed."
"<アル>
『冤罪？
　間違った罪で牢屋にいれられちゃったってことかな…
　だとしたら、かわいそうだよね。』","<Al>
""False charges? Does that mean she's in the prison
 because of some mistake? I feel sorry for her if
 that's the case."""
"貴方はアルの言葉に頷き、
牢の中の女性に冤罪について詳しく尋ねてみる。","You agreed with Al and asked the woman about the finer
details of her imprisonment."
"そして、貴方はそんな彼女に見惚れながら、
冤罪という内容について詳しく尋ねた。","Then you asked about the details of the woman's
imprisonment while looking over her attractive body."
"<囚人>
『ええ、聞いてくれる？
　私なんにも悪いことなんてしてないのに、
　ヴァンガードの連中ったらひどいの。』","<Prisoner>
""Oh? Will you listen to my side of the story? I didn't
 do anything wrong, but the Vanguard captured me
 anyway."""
"<囚人>
『私はね？エッチなことの対価として、
　ちょっとお金をもらっただけ…
　なのに、詐欺だ、なんて言って。』","<Prisoner>
""You see, all I did was take some money in return for
 a sexual deed... And then I got called a scam artist."""
"<囚人>
『自分もお金を払うことに納得してたのに、
　後になってごねて私を逮捕したのよ？
　酷い話だと思わない？』","<Prisoner>
""My client clearly agreed to the deal. But after we
 were done, he didn't anymore. Then I got thrown in the 
 jail. Don't you think that's horrible?"""
"女性は貴方にそう愚痴をこぼす。この街で、
身体を売ることがどういう扱いなのかは分からないが、
合意の上での話だとするなら確かに酷い話のように思えた。","The woman complained about her situation. You weren't
sure how this town handled prostitution, but the
treatment that she got was clearly wrong after a mutual
agreement."
"<アル>
『な、なんか正義の味方っぽくなくて、
　ちょっと幻滅かも……』","<Al>
""I-I'm not sure if the Vanguard is an ally of justice
 after all..."""
"ヴァンガードに憧れのようなまぶしさを感じていたアルも、
彼女の話にがっかりしたように肩を落としている。","Al was a fan of the Vanguard, so hearing the woman's
story got her down."
"しかし、ただそれだけで捕まるとも思えない。
貴方は彼女に、いくらで取引をしたのか、
と疑問を尋ねてみることにした。","However, you didn't believe that someone would get 
imprisoned just because of that. You asked how much 
money did she charge from her client."
"<囚人>
『ふふ♡たったの10万Gよ。
　ヴァンガードくらいの強さなら、
　ちょっと頑張れば稼げる金額♡』","<Prisoner>
""Ehehe♡ Just a little 100,000G♡ My client was strong 
 enough to enter the Vanguard, so he should be able to 
 earn that much with a little effort♡"""
"<アル>
『10万…！？
　さ、さすがにちょっと高すぎだったんじゃ……』","<Al>
""100,000G?! T-That's way too much..."""
"貴方の疑問に何でもない様に返した囚人に、
アルが驚きの声を上げる。
貴方も、思った以上の大金に言葉を失った。","Al raised her voice when she heard the woman say the 
sum nonchalantly. It was way more than you had
imagined, so you were left speechless."
"貴方の疑問に囚人はそう返答する。
その金額の大きさに貴方は言葉を失った。","The woman said the sum nonchalantly. Hearing that left
you speechless."
"<囚人>
『あら、なに？その顔は。
　勘違いしないで頂戴ね、無理やりなんかじゃないわよ？
　ちゃんと、彼にも合意をとったもの♡』","<Prisoner>
""Oh? What's with the face? Please don't misunderstand.
 It's not like I took it from him by force. I properly
 got his agreement to the deal♡"""
"貴方の反応を見た囚人はくすりと微笑むと、
口を大きく開けて長めの舌を見せつける。","After giggling at your reaction, the woman opened her 
mouth wide and showed off her long tongue."
"<囚人>
『このお口でおちんぽをじゅるじゅる吸ってあげたのよ♡
　亀頭もこの舌でなんども舐めまわしてあげて、
　丁寧に、じっくりと虐めてあげたわ♡』","<Prisoner>
""I sucked off his dick with my mouth while licking his
 glans with my long tongue♡ I played with his manhood
 so slowly and carefully♡"""
"<囚人>
『それから何度も何度も寸止めしてあげたらね？
　すぐに彼も10万Gの支払いに同意してくれたわ♡』","<Prisoner>
""And then I edged his penis... Over and over again♡ 
 It didn't take long before he agreed to pay 100,000G
 for an orgasm♡"""
"<囚人>
『すっごい情けない声で、
　イかせてくださいって正義の味方失格のおねだり♡
　しちゃってたのに、ほんと、ひどいわ♡』","<Prisoner>
""The way he begged and cried for an orgasm was such a
 miserable sight♡ The way he called me a criminal
 after wanting it so badly is so horrible♡"""
"囚人は貴方に口の中を見せつけ、
その時の再現をするように妖しげに舌を動かす。
その妖艶な舌の動きに、股間に血流が集まるのを感じる。","The woman kept her mouth open while moving her tongue 
in replay of what she did to her client's penis. The
seductive dance of her tongue made the blood rush to
your groin."
"<アル>
『\n[1]！！こ、この人やばい人だよ…！
　は、早く離れようよ！！』","<Al>
""\n[1]! T-This woman is bad news!
 Y-You should get away right now!"""
"アルのそんなせかすような声を聞きながらも、
貴方は彼女のお口に視線が釘付けになり、
そこから1歩も動くことが出来ない。","Al told you to move away from the woman in panic, but 
she had your attention locked on her mouth so tightly 
that you couldn't move a single step."
"<囚人>
『うふふ♡お兄さん、
　話を聞いてたら想像しちゃったの？
　牢屋の前でおちんぽ勃起させちゃうなんて変態ね♡』","<Prisoner>
""Ahaha♡ Could you not help imagining how amazing my 
 blowjob would feel like after hearing my story? You're
 such a pervert to pop a boner in front of a jail♡"""
"<囚人>
『その勃起おちんぽ、牢屋の中に入れてみない？
　そしたらこのお口で、たっぷりフェラしてあげるわよ♡
　ヴァンガードの彼みたいにね♡』","<Prisoner>
""Why don't you try sticking your dick through the bars?
 When you do... I'll give you the most amazing
 blowjob♡ I'll suck you off just my last client♡"""
"囚人は貴方に妖しく動く舌を見せつけながら、
そう誘惑する。その扇情的な動きに、
貴方は思わずごくりとのどを鳴らしてしまう。","After inviting you to stick your penis into the cell,
the woman gave you a seductive show with her tongue. 
You couldn't help gulping loudly before the sight of 
her sensational display."
"<アル>
『だ、ダメだよ！？そんなことしたら、
　何を要求されるか分からないんだからね！？
　し、しっかりして！\n[1]！！』","<Al>
""N-No! \n[1], you shouldn't! She'll surely
 demand something from you in return! Carefully think 
 this through!"""
"肉棒を牢屋の中に入れる","Stick your penis in"
"牢屋の前から離れる","Back off"
"アルのいう通り、
ここで誘惑に負ければ後で何を要求されるか分からない…
それでも、貴方は思わず勃起した肉棒を露出させてしまう。","Like Al said, the woman might demand something if you 
let her suck you off. However, you couldn't resist
taking out your erect penis before her."
"アルの制止の言葉も、
もう貴方の耳には入らない。
すっかり頭の中を興奮で支配されてしまった。","Al's warnings could no longer reach you. Arousal had
completely taken over your mind."
