"EV001",""
"EV002",""
"『ここは休憩所みたいだな。
　アンタも疲れてるなら適度に休めよ？
　無理はゲームオーバーにつながるぜ』",""
"<アル>
『\n[1]、疲れてない？あそこのベッドで休んでく？』",""
"<アル>
『\n[1]、無理は禁物だよ……？
　えっと、疲れてたら、ちゃんと休んでね……？』",""
"EV003",""
"『ああー………だめ、いったん休むと動く気力なくなる…』",""
"EV004",""
"『少し休んでいきますか？』","Rest for a moment?"
"はい","Yes"
"いいえ","No"
"<アル>
『私、見張ってるね！お休み、\n[1]！』",""
"<アル>
『お休み、\n[1]。
　私が見張ってるね…？』",""
"小悪魔B","Imp B"
"<小悪魔B>
『もう終わりなの？
　負けちゃったらどうなるか…分かってるわよね？』",""
"小悪魔は身体が動かなくなった貴方に、
脅すような笑みを浮かべる。",""
"<小悪魔B>
『貴方はこのまま、
　私にすべての力を吸い尽くされちゃうのよ。
　おっぱいに負けちゃう弱い男にはお似合いの最期よね♡』",""
"小悪魔は嘲りながらそう言うと、むにゅりと肉棒を
谷間に招き入れ、柔らかく両側から圧迫する。",""
"吸い付くような柔らかさの乳房に、
これから力を吸い取られるというのに
肉棒はピクリと喜びの反応を示してしまう。",""
"<小悪魔B>
『嫌なら頑張って耐えることね。
　弱いおちんぽにはそんなことできないと思うけど♡』",""
"<小悪魔B>
『ほら♡おっぱいに軽く挟まれてるだけで、
　嬉しそうに震えちゃってる♡
　また負けたいよーっておねだりかしら♡』",""
"小悪魔はからかうようにそう言いながら、肉棒の反応を
楽しむようにたぷたぷと乳房を弾ませる。
柔らかい乳肉に軽く擦れるようなじんわりとした快楽が
貴方を支配し、彼女の言葉への反論が掻き消えていく。",""
"<小悪魔B>
『ふふ♡それならちゃんと負けさせてあげるわ♡
　私のパイズリで、またよがっちゃいなさい♡』",""
"小悪魔はリズムカルに乳房を上下に振り始める。
柔らかな乳肉に肉棒全体が擦られ、まるで谷間の中で肉棒が
溶かされていくような錯覚を覚える。",""
"<小悪魔B>
『ほらほらぁ♡ここが気持ちいいんでしょ？
　先っぽをたくさんおっぱいで虐めてあげるわね』",""
"小悪魔は乳房を軽く浮かせる。
そして、カリ首に乳肉を引っかけるようにしながら
たぷんたぷんと激しく上下に乳房を振る。",""
"男の弱点を的確に攻め立てるようなパイズリに、
貴方のほほは思わず緩んでしまう。",""
"<小悪魔B>
『ふふ、ずいぶんとろけた顔をしちゃうのね♡
　おっぱいに力を吸われちゃうのがそんなに嬉しいの？』",""
"<小悪魔B>
『ここに来るまでに必死にためた貴方の力♡
　全部私のなおっぱいに搾り取られちゃうのに、
　気持ちよくなっちゃうのね♡変態♡』",""
"ここまでの冒険がすべて無駄になる…………
そう告げられているのに、パイズリによる快感に我慢できず、
喘ぎ声が出てしまう。",""
"小悪魔はそんな貴方の反応を楽しそうに見つめながら、
じっくりと搾りだすように乳房の圧迫を強め、
パイズリを続ける。",""
"<小悪魔B>
『本当に弱いおちんぽね♡
　おっぱいに弄ばれて、もう負けちゃいそう♡』",""
"<小悪魔B>
『ほらほら、女の象徴に弄ばれて
　手も足も出ないなんて恥ずかしくないの？
　少しは意地を見せてみなさい♡』",""
"乳房に弄ばれるままの貴方を小悪魔はそう叱咤しながら、
肉棒を追い詰めるようにむにゅぅっと締め付ける。",""
