"EV001",""
"EV002",""
"EV003",""
"EV004",""
"『いらっしゃい。
　ここは上の町の酒場の無機質さが嫌になった人のための、
　懐かしさを感じる酒屋を目指した場所よ。』","""Welcome. This is a cozy restaurant made for those who
 don't like the more business-like restaurant at the 
 north side of the city."""
"『メニューも毎日日替わりで作っているの。
　貴方も気楽にくつろいでちょうだいね。歓迎するわ。』","""Our menu also consists of rotating daily special.
 You can come sit down for a meals at your own
 leisure."""
"<アル>
『優しそうな人だね！
　それに……ん～♪おいしそうな料理の香り！
　ねぇ\n[1]、何か頼んでいこうよ！』","<Al>
""She seems like a gentle woman! Also... Mmmmh♪
 The food smells so good! Hey, \n[1]♪
 Let's order something!"""
"『いらっしゃい。
　何か食べていく？
　それとも私とお話する？』","""Welcome. Would you like to eat? Or perhaps sit down
 to chat?"""
"日替わりメニューを頼む（500G）","Daily Special (500G)"
"お話する","Chat"
"特に用はない","Never mind"
"『ふふ、ありがとう。
　それじゃ…………どうぞ、召し上がれ。
　貴方の舌に合うといいんだけれど。』","""Ahaha. Thank you. Then please eat up. I hope the
 taste is to your liking."""
"貴方の最大HPが10増加した！","Your MAX HP increased by 10!"
"貴方の最大MPが2増加した！","Your MAX MP increased by 2!"
"貴方の攻撃力が1増加した！","Your ATK increased by 1!"
"貴方の防御力が1増加した！","Your DEF increased by 1!"
"貴方の魔法力が1増加した！","Your MATK increased by 1!"
"貴方の敏捷性が1増加した！","Your AGI increased by 1!"
"貴方の経験値が100増加した！","You gained 100 experience!"
"貴方の経験値が200増加した！","You gained 200 experience!"
"貴方の経験値が300増加した！","You gained 300 experience!"
"貴方の経験値が400増加した！","You gained 400 experience!"
"『お粗末さまでした。
　また来てちょうだいね？』","""Thank you for eating my cooking. I look forward to
 seeing you again."""
"<アル>
『ん～♪美味しかったね！
　私もたくさん食べちゃった～♪』","<Al>
""Mmmh♪ It was delicious! I got to eat my tummy full
 too♪"""
"『あら、お金が足りないわね。』","""Oh. Looks like you don't have enough money."""
"『お話……そうね、
　貴方、この街に来てまだ間もないわよね？
　そういうお上りさんって顔してるもの。』","""A chat, is it? Let's see... You haven't been in the 
 city for long, have you? You look pretty much like
 a country bumpkin."""
"女性は貴方の顔をまじまじと見つめると、
くすりと柔らかく微笑んでそう告げる。","After staring at your face for a while, the owner said
that with a gentle smile."
"『気を悪くされたのならごめんなさいね。
　ただ、そんな貴方に1つ忠告させて頂戴。
　この街は一見平和そのものに見えるんだけど……』","""I'm sorry if I offended you. However, I've got a piece
 of advice since you're new around here. This city 
 might look peaceful at glance..."""
"『一定の自衛能力が求められるわ。
　他の人に騙されても誰も助けてくれない…
　そう考えておくくらいじゃないと、
　いつか痛い目にあうかもしれないわね。特に男の子は♡』","""But you need strength to defend yourself. If you get
 deceived by someone, no one will come to your help.
 You need to be mindful of that or you'll get hurt,
 and it's even more so for boys♡"""
"『自分の色香を使って、
　男の子を騙したり利用したり……
　そういうことを企む女の子もこの街には結構多いのよ。』","""There are many girls in this city who seek to use 
 their charm and beauty to deceive and exploit boys."""
"『だから、
　甘い誘惑なんかに負けてしまったら……
　取り返しのつかないことになっちゃうかもね。』","""That means if you were to go along with some girl's
 sweet seduction... There might be no coming back from
 it."""
"<アル>
『\n[1]ならきっと大丈夫だよ！
　私が淫気の影響を抑えてあげてるんだもん♪
　…………ね、そうだよね？\n[1]？』","<Al>
""\n[1], I'm sure you'll be fine! After all,
 you have me to protect you from the sex gas♪
 Isn't that right?"""
"アルが胸を張りながらそう言っている。","Al said that with her chest puffed out with pride."
"自分は大丈夫だ","I'll be fine"
"自信ない…","That sounds bad..."
"『あら、そう？
　余計なおせっかいだったかしら。
　でも……そういう人ほど、
　案外誘惑に弱かったりするのよね。』","""Oh, is that so? Maybe my warning was unneeded... 
 However, the people who are sure of themselves are 
 also the ones who are usually weak to temptations."""
"そう言いながら女性はカウンターから乗り出し、
貴方の顔をじっと端正な顔で見つめる。
瑞々しく柔らかそうな唇や、整った温和な雰囲気に、
貴方は次第に自分の顔が赤くなるのを感じる。","After saying that, the owner leaned over the counter to
closely stare at your face. When you were face-to-face
with her beautiful looks and soft-looking lips, you 
could feel your cheeks getting hotter."
"『ふふ♡
　見つめられるだけで赤くなっちゃうの？
　強がってたのに、可愛いわね。』","""Ahaha♡ I'm making you blush by simply staring at your
 face♡ It's adorable when you react like that after 
 acting so tough♡"""
"そう言いながら店員は貴方の耳元に唇を近づけ、
温かい吐息を吹きかける。","After saying that, the owner brought her lips to your
ear and blew a hot breath."
"『ねぇ、私の料理…食べていかない？
　たっぷりサービス♡してあげるわよ♡』","""Hey...♡ Won't you order my cooking? I'll give you an
 extra special serving♡"""
"艶やかな声でそうねだられれば、
貴方は顔を赤くしたままこくんと頷くしかなかった。","When the owner seductively coaxed you to order food,
you could only nod while your cheeks were feeling
burning hot."
"『……くす♪ごめんなさい。
　あまりに反応がいいからちょっとからかっちゃった。
　冗談よ、気にしないで頂戴。』","""...Ahaha♪ Sorry, you reacted so adorably that I 
 couldn't help to tease. It was just a joke, so don't
 worry about it."""
"貴方が頷くのと同時に、
女性は顔を離して朗らかにそう笑った。","Just as you had nodded, the owner got up from the
counter and cheerfully laughed.
"
"『ふふ、そんな顔しないで。　
　これで自分が女の色香に弱いんだってこと、
　少しは自覚できたでしょ？』","""Ahaha. Please don't make such face. That should have
 made you realize how you're weak to women's' advances,
 right?"""
"『よかったじゃない。
　慢心したままだと、
　あっという間に女の子に利用されてたかもしれないわよ♡』","""It's better that you're self-aware of it. Otherwise
 you might find yourself getting exploited by a girl
 before you even realize it♡"""
"くすくすと微笑む女性を貴方は釈然としない思いで見つめた。","You couldn't help feeling complicated after the owner
smiled and explained herself like that."
"<アル>
『うぅ～……
　な、なんかいいようにからかわれた気がする……』","<Al>
""Uuh... \n[1], I have a feeling that she's
 still teasing you for the fun of it..."""
"『あんまり女性慣れしてないの？
　そう……それならここにきて、
　私とお話するのはどう？』","""Oh? Do you not have much experience with women? 
 I see... Then how about you come here to chat with
 me every now and then?"""
"『少しは耐性がつくように……
　心を鬼にして、貴方のことをからかっちゃおうかしら。
　例えばこんな風に貴方のお耳に唇を近づけて…ふぅ～♡』","""I can try teasing you so that you can build up 
 resistance little by little. For example... I would 
 got close to your ear like this and then blow on 
 it... Fuuuh♡"""
"女性は貴方の耳に唇を近づけ、
艶やかな唇を窄めると温かい吐息を耳に吹きかける。
貴方は思わずその熱っぽい吐息に、
身体をびくりと反応させてしまう。","The owner brought her glossy lips close to you before 
narrowing them and blowing a hot breath on your ear.
The amorous breath made you instantly jump by reflex."
"『ふふ♡
　お耳に吐息を吹きかけられるだけで、
　そんな反応しちゃうのね。』","""Ahaha♡ A single blow of breath on your ear makes you
 react so strongly."""
"『これは弄び甲斐……じゃなくて♡
　鍛え甲斐があるわ。』","""You're so worth to tease... I mean, worth to train♡"""
"店員は貴方の反応に満足すると、
顔を離してクスリと柔らかくそう微笑む。","The owner seemed to be satisfied by your reaction as
she moved away from you and gently smiled."
"『いきなりはやめて欲しい？
　いいじゃない、訓練よ、訓練♡
　私に貴方を陥れるつもりはないんだし、
　いい練習になると思ってちょうだい。』","""Eh? You don't want me to do any of that again? But I
 think it would be really good training for you. After
 all, I'm not trying to make you dance of the palm of
 my hand like the other bad girls♡"""
"貴方の文句に、
女性は笑みを崩さないままそう返答する。","The tease made you complaint to the owner, but she
said that back to you without breaking her smile."
