"EV001",""
"EV002",""
"EV003",""
"EV004",""
"ほんのりと甘い香りがする…………気がする","You can smell a faintly sweet scent."
"<アル>
『…\n[1]？
　変なこと考えてるでしょ？』","<Al>
""\n[1]?
 Are you thinking about something weird?"""
"EV005",""
"<可憐>:
『\n[1]君、どうしたの？この部屋には何もないよ？』","<Karen>
""\n[1], why are you here?
 There's nothing in this room."""
"<可憐>:
『私はもう少し休んでから行くね！次戦う時は負けないよ♪』","<Karen>
""I'll rest a bit before moving on!
 I won't lose our next battle♪"""
"<可憐>:『……次は負けないからね。
　　　　屈辱は倍にして返してあげる』","<Karen>
""...I wont lose the next battle.
 I'll repay this humiliation in double."""
