"EV001",""
"『…これは、私が貴方を巻き込んでしまった運命の物語。』\.\.\.\.\.\.\.\.\.\^\^\^","""This is a fateful story that I ended dragging you in.""\.\.\.\.\.\.\.\.\.\^\^\^"
"『運命に翻弄され、\.\.\.\.
　その中であがいた私と……の旅路の記録。』\.\.\.\.\.\.\.\^\^\^\^\^\^","""A record of our story...\.\.\.\. As we fought our fate...""\.\.\.\.\.\.\.\^\^\^\^\^\^"
"『その全てがいいことばかりじゃなかったと思うけど、\.\.\.\.\.\.\.\.\.\.
　それでも私にとってはとても楽しくて、思い出深い冒険。』\.\.\.\.\.\.\.\.\.\.\^\^\^\^\^\^\^\^\^\^","""Even while it involved struggles and hard times...\.\.\.\.\.\.\.\.\.\.
 For me it was a fun adventure...\.\.\.\. That I'll never
 forget...""\.\.\.\.\.\.\.\.\.\.\^\^\^\^\^\^\^\^\^\^"
"『……だから、貴方にも知って欲しいの。\.\.\.\.\.\.\.\.
　遠い世界にいる、貴方にも。』\.\.\.\.\.\.\.\.\.\^\^\^\^\^\^","""That is why... I want you to also learn it...\.\.\.\.\.\.\.\.
 The you from a world different from mine...""\.\.\.\.\.\.\.\.\.\^\^\^\^\^\^"
"『何も思い出せなくてもいい。\.\.\.\.\.\.\.\.
　でもどうか………覚えていてください。』\.\.\.\.\.\.\.\.\.\.\^\^\^\^\^\^","""There's no need to think hard about it right now...\.\.\.\.\.\.\.\.
 But please...\.\.\.\.\.\. Remember the path you walk with me...""\.\.\.\.\.\.\.\.\.\.\^\^\^\^\^\^"
"『私と……が歩んだ道を。\.\.\.\.\.\.
　いつか必ず…迎えに、行くから。』\.\.\.\.\.\.\.\.\^\^\^\^\^\^","""Because one day...\.\.\.\.\.\. I'll find a way...\.\.\.\.\.\.
 To your side again...""\.\.\.\.\.\.\.\.\^\^\^\^\^\^"
"………………………………\.\.\.\.\.\.\^\^\^\^\^\^","................\.\.\.\.\.\.\^\^\^\^\^\^"
"<???>
『…………き…………お…………』","<???>
""...ke... up..."""
"ぐっすりと眠っている自分の隣から声が聞こえる","You heard someone's voice in your sleep."
"<???>
『………きて…………おきて…………』","<???>
""...up... Wake..."""
"その声に眠りを妨げられ、徐々に意識が覚醒していく","The voice disturbed your sleep and gradually woke you
from your slumber."
"<???>
『…………ねぇ！起きてってば！！』","<???>
""...Hey! Wake up already!"""
