"EV001",""
"試合会場に入場しますか？",""
"はい","Yes"
"いいえ","No"
"<優香>
『へぇ、今回の相手はアンタなんだ。
　ラッキー♪これは勝負はもらったようなもんね♡』",""
"今回の試合の相手も、貴方の見知った顔だった。",""
"<アル>
『うわっ！あ、あのときのすごく強い人！
　わ、わ、ど、どうしよ！\n[1]！』",""
"彼女の登場に、アルは露骨に慌てふためいてしまう。",""
"<優香>
『しっかし、
　あんなくそザコだったアンタが1層のボスを倒せたんだ？
　すごいじゃん、褒めてあげる♡』",""
"優香はにやにやとからかうような笑みを浮かべながら、
貴方に機嫌よさそうにそう言葉を投げかける。",""
"<優香>
『アンタもまぁ、それなりには強くなったってことね。
　で・も♡私はそれ以上に強くなってるけど♡』",""
"余裕そうな笑みを浮かべたまま、優香は貴方を見下している。",""
"<アル>
『うー！
　あ、あのときでもめちゃくちゃな強さだったのに……！』",""
"貴方はそんな彼女の言葉を聞いて、
冷や汗を流しつつ、剣を構えた。",""
"<優香>
『私に試合で当たったのが運の尽きとでも思っててよ。
　前みたいに、かるーくぼこってあげるからさ♡
　く・そ・ザ・コ・君っ♡ちゅっ♡』",""
"優香は色っぽく貴方に投げキッスを行い、挑発する。
貴方はそれを振り払うように突進した。",""
"<優香>
『うぐ…………そ、そんな…………
　私が、負けるわけないのに…………』",""
"優香は悔しそうに呻きながらそう地面に倒れこむ。",""
"優香を犯さない",""
"優香を犯す",""
"倒れこむ優香に近づき、
貴方はあのレベル上げの方法をもうやめることを勧めた。",""
"<優香>
『は……？え、なに………？
　それは、脅し？』",""
"状況が飲み込めないという彼女の言葉を貴方は否定する。
そして、そのレベル上げのリスクを彼女に伝えた。",""
"<優香>
『…………そんなわけ…ん、でも…………』",""
"貴方の言葉に彼女は沈黙し、ぶつぶつと考え込む。",""
"<優香>
『…ふん、ま、どっちみちもうしないつもりだったし。
　もうほぼカンストだもん、私のレベル。』",""
"<アル>
『ええ！？
　\n[1]、よくこの子に勝てたね…………』",""
"彼女の言葉を聞いて驚いた言葉を漏らすアルに、
貴方は自分でも不思議に思うと頷き返した。",""
"<優香>
『ま、だから言われるまでもなくもうやんない。
　…………で？これを聞いてどうする？
　やっぱり私を犯す？』",""
"そう言いながら、動けないながらも、
挑発的な視線を貴方に投げかける彼女に貴方は首を横に振る。",""
"<優香>
『あっそ…………理解できないけど。
　……………………ゲームでお人好しって、損だからね？』",""
"彼女はそっぽを向きながらそう貴方に言葉を投げかける。",""
"それでもいい",""
"犯されるほうが好きだし………",""
"<アル>
『えへへ♪\n[1]は優しいね！
　私は、そんな\n[1]のほうが好きだよ！』",""
"そんな言葉を告げるアルの頭を、
貴方は指で撫でて感謝を告げた。",""
"<優香>
『…………馬鹿みたい。ま、いいんじゃない？
　ゲームなんだし、思うようにすれば。』",""
"そう言う優香に、貴方はそうすると答えて背を向ける。
そして、そのまま控室に戻っていった。",""
"<優香>
『はぁ…………こんなマゾに負けたとか、
　なんかムカつくんだけど…………』",""
"貴方の返答をきいて呆れたように優香はため息をつく。",""
"<アル>
『\n[1]、私もそれはちょっと………
　あ、うん、マゾなのはいいんだけど…………
　今は、ほら、もっとこう…………ね？』",""
"アルも納得できないようで、
何とも言えない顔で貴方を見つめている。",""
"<優香>
『ま、いいけど。それなら今度こそ、
　次は負かしてお望み通り犯してあげる♡』",""
"<優香>
『私はアンタが犯さなかったからって、
　遠慮するような性格してないから♡
　次私に負けた時、楽しみにしてなさい♡』",""
"そう言う優香に貴方は顔を赤くして、とっさに後ろをむく。",""
"<アル>
『\n[1]ー？
　負けたら、レベル吸い取られちゃうんだから、
　今度も負けちゃダメだよ？』",""
"ジト目で見つめてくるアルに、
貴方は分かってると言葉を返す。",""
"<アル>
『ほんとー？
　その、マゾなのはいいけど…………ほどほどに、ね？』",""
"そう言うアルに貴方は頷きを返した。",""
"そして、そのまま控室へと戻っていった。",""
"本当に優香を犯しますか？
【注意:取り返しはつきません】",""
"<優香>
『ぐ、いや、こんな、こんなモブなんかに……
　んっ♡んんっ♡…………！！！』",""
"<優香>
『い、やぁ…………んんんっっっ♡あ、ぁ……！
　あぁぁぁぁぁぁぁぁっ♡』",""
"貴方は優香を犯した。",""
"<優香>
『こんな、観客の前で…………うぅぅ…………』",""
"貴方は呻く優香に背を向け、控室に戻っていった。",""
"<優香>
『へぇ…こんなところでアンタに会えると思わなかった。
　ようやく、あの時の借りが返せるわけね。』",""
"優香は怒りを込めた目で貴方を睨み、
ふっとこわばった表情を崩すと笑みを浮かべる。",""
"<優香>
『今ならもう、アンタには絶対負けない。
　観客が見てる前で無様に射精させて、
　あの時感じた私の屈辱を倍にして返してあげる。』",""
"笑みを浮かべた彼女の圧力に、
貴方は警戒しながら剣を構え、売り言葉に買い言葉と、
また犯してやると宣言する。",""
"<優香>
『ふん、いつまでそんな口を叩ける？
　あんたの顔が屈辱と快楽にゆがむのが楽しみだわ♡』",""
"優香は暗い笑みを浮かべながら、
可愛らしく貴方に向かってウインクする。",""
"<優香>
『大勢の観客の前で、
　無様にあへあへいいながらイっちゃうところ、
　晒しものにしてやるわ♡』",""
"<優香>
『うぐ…………そ、そんな…………
　これでも勝てない、なんて…………』",""
"<優香>
『はぁ！？アンタ、この前はいやいや犯してたってこと？
　何それ、めちゃくちゃムカつくんだけど…………』",""
"<優香>
『ぐ、いや、こんな、観客の前で、またっ……！
　んっ♡んんっ♡…………！！！』",""
"<優香>
『こんな、2度目なんて…………うぅぅ…………』",""
"<優香>
『げっ………
　はぁ………運悪すぎでしょ、なんでアンタに当たるのよ…』",""
"優香は貴方の顔を見ると、
露骨に顔をしかめてそう言葉を漏らした。",""
"<アル>
『あ、あの時の子だね♪
　あれから、ちゃんと\n[1]との約束守ってくれてたのかな？』",""
"貴方はアルと同じ疑問を抱き、
彼女にそのことを尋ねてみることにした。",""
"<優香>
『うん、アンタに言われた通り、
　あれからあのレベル上げはしてない。それでも私は、
　この町でも充分強い方みたいだし？』",""
"<優香>
『でも、よりにもよって3戦目がアンタとはね……
　ほんと、ついてないわ…………』",""
"再びため息をつく少女に何とも言えない気分になりつつ、
約束を守ってくれて嬉しいと伝えながら貴方は剣を構える。",""
"<優香>
『別に。自分のためだし。
　………というか、行動と言葉が矛盾してない？』",""
"<優香>
『はぁ………ま、嘆いていても仕方ないわよね。
　私も少しは強くなってるし、
　化け物にリベンジしてやるっての！』",""
"優香はそう言いながら、身体に魔力を高ぶらせる。",""
"<優香>
『観客の前で負けても恨まないでよね。
　私はアンタのこと、容赦なく犯しちゃうから♡ちゅっ♡』",""
"倒れこむ優香に近づき、貴方は今回も自分の勝ちだと告げる。",""
"<優香>
『はいはい、そうですね。
　はぁ、ほんと、強い…………』",""
"優香は倒れたまま、呆れたようにため息をついた。",""
"<優香>
『で？どうすんの？
　私のこと、犯すの？』",""
"そして、動けないながらも貴方を見上げ、
そう挑発的な視線を向ける。",""
"そんな彼女に貴方は首を横に振る。",""
"<優香>
『あっそ…………やっぱ理解できないけど。
　……………………ゲームでお人好しって、損だからね？』",""
"<優香>
『アンタ、マゾのくせになんでそんなに強いわけ？
　はぁ…………ムカつく』",""
"EV002",""
"<優香>
「お、やっと来た来た♪
　コロシアムで3勝したって聞いたから、
　ここで待ってればそのうち来ると思ってたんだよね♪」",""
"貴方の姿を見かけて、
くすくすと笑みを浮かべながら優香が声をかけてくる。",""
"<アル>
『この子が\n[1]のことを待ってた？
　…………なんだろう、
　あんまりいい予感はしないんだけど……」",""
"貴方はそう言いながら顔をしかめるアルと同じ思いで、
警戒しながら何か用かと優香に尋ねた。",""
"この女が自分を待っていた…絶対にろくなことじゃない。
貴方はそう警戒しながら何か用かと優香に尋ねた。",""
"<優香>
『アンタさ、コロシアムで戦ったとき、
　なかなかいい剣持ってたよね？
　その剣、私がもらってあげる♡」",""
"優香は嗜虐的な笑みを浮かべたままそう言って、
貴方に手を伸ばした。",""
"<アル>
『や、やっぱりいいことじゃなかった…！
　こ、これカツアゲだよ！？」",""
"アルはそう焦ったような声を出す。
実際、彼女の要求は横暴極まりないものだ。",""
"やっぱり碌なことじゃなかった…
貴方はため息をつきそうになるのを堪えるが、
彼女の横暴な要求に腹立たしさを覚える。",""
"<優香>
『あ、断ったら力づくで奪うだけだから♡
　ひどい目にあいたくなかったら、私にその剣渡してよ。」",""
"<アル>
『横暴だよー！？
　ど、ど、どうしよう…………あ、そうだ！
　バンガードなら助けてくれるんじゃないかな！」",""
"貴方はアルの言葉に頷く。
彼女のこの要求は間違いなく強盗に当たる、
きっとバンガードも助けてくれるはずだ。",""
"貴方はそう考えて、
バンガードに通報するぞと優香に伝えた。",""
"貴方は彼女の言葉を聞き、
コロシアムでの彼女の強さを思い出して冷や汗を流す。",""
"しかし、
彼女のこの要求は間違いなく強盗に当たる、
きっとバンガードも助けてくれるはずだ。",""
"<優香>
『バンガード？あぁ、あの偽善者の集まりね。
　ぷっ、それで私が引き下がると思ったの？』",""
"<優香>
『私はアンタから剣を奪ったら、
　先に進むつもりだからもうあの街に戻ることはないの♡』",""
"<優香>
『だから、アンタがこの後、
　そいつらに泣きつこうが関係ないってこと♪」",""
"優香は余裕の表情を浮かべたまま、
貴方の言葉が無意味であるとそう説明する。",""
"<優香>
『それに、あいつらそんなに強くないし♡
　街にいるときも、
　生意気なバンガードの一員とかいたけどさ。」",""
"<優香>
『私にくってかかってきた偽善者は、
　なっさけな～く敗北お射精させて返り討ち♡』",""
"<優香>
『だからアンタの脅しは二重の意味で無意味ってわけ♡
　ほら、さっさと選びなよ。』",""
"<優香>
『私に大人しくその剣渡すか、
　私にボコられてその剣奪われるか♡』",""
"<アル>
『う、うぅ……
　どうする？\n[1]…………」",""
"抵抗する",""
"大人しく剣を渡す",""
"<アル>
『…そうだよね、
　こんな横暴な要求に従うことなんてできないもんね！」",""
"<アル>
『この子は確かに強いけど……
　今度こそ勝とう！
　\n[1]なら勝てるって信じてるよ！』",""
"貴方はそう激励を送ってくれるアルに頷き、
剣を抜いて彼女の方へと向けた。",""
"<優香>
『あは♡コロシアムであれだけボコって上げたのに、
　アンタじゃ私には絶対勝てないってまだ分からないんだ？』",""
"<優香>
『それならお望み通り、力づくで奪ってあげる♡
　びゅるびゅる射精しながら、
　ザコのくせに私には向かったことを後悔しろ♡』",""
"<優香>
『…………へぇ、聖剣ね、
　やっぱりなかなかいい装備じゃん♡』",""
"優香は聖剣のステータスを確認し、
軽くその場で素振りをしてそう言葉を漏らす。",""
"<優香>
『よっ！ほっ！…うん、扱いやすい♡
　メイン武器に決定♡』",""
"優香はくすくすと笑みを浮かべたまま、
貴方のものであった剣を目の前で素振りして見せる。",""
"屈辱的なことに、
ステータスによるものか、
その剣筋は貴方のものより何倍も美しかった…………",""
"そして、彼女はしばらく剣を素振りした後に、
満足そうにその剣を鞘に納め、俯く貴方のほうを向く。",""
"<優香>
『じゃ、この剣は私がもらっておいてあげる♡
　ゲームオーバーにならないよう気を付けてね、
　マゾ堕ちした変態く～ん♡』",""
"そう言って優香は去っていった…………",""
"<アル>
『うぅ…\n[1]！しっかり！
　惚けてる場合じゃないよ！』",""
"しばらく心地いい脱力感に浸りながらぼーっとしていると、
貴方の隣からアルのそんな声が聞こえた。",""
"<アル>
『あ、正気に戻った？よかった……
　いくら話しかけても返事してくれないかったから………』",""
