"EV001",""
"EV002",""
"EV003",""
"広場に向かいますか？",""
"はい","Yes"
"いいえ","No"
"<アル>
『何とか早めに終わらせないとね！
　頑張ろ、\n[1]♪』",""
"EV004",""
"EV005",""
"EV006",""
"EV007",""
"EV008",""
"<メイドサキュバスA>
『お目覚めになりましたか。
　おはようございます。』",""
"貴方が目を覚ますと、
そこはベッドの上だった。
そして、隣にいたメイドサキュバスがそう声をかけてくる。",""
"<メイドサキュバス>
『それでは、今から家畜としての、
　役割についての説明をさせていただきますね。
　但しその前に…………』",""
"<メイドサキュバスA>
『貴方にあらかじめ、
　知っておいて欲しいことがあります。
　まずはその話からいたしましょうか。』",""
"そうメイドサキュバスは口を開く。
そんな彼女に貴方はベッドから起き上がろうとするが、
彼女は貴方を制止する。",""
"<メイドサキュバスA>
『楽にしていただいて構いませんよ。
　それよりも、中々ショックなことをお話しますので、
　そのお覚悟を。』",""
"そう口を開いた彼女に、貴方はごくりとのどを鳴らした。",""
"<メイドサキュバスA>
『まず、私の自己紹介からですが……
　実は、私はただの魔物ではありません。
　元々は貴方と同じ”プレイヤー”でした。』",""
"<アル>
『っ！や、やっぱり………！
　なんだか、魂の色的にそんな感じがしたんだよね！
　モンスターみたいに透明じゃなかったから……』",""
"アルはメイドサキュバスの言葉を聞いて反応を示す。
戦闘前に気になっていたことは、
これだったのか……そう貴方は驚きをもって受け止めた。",""
"<メイドサキュバスA>
『今は違いますけどね。この階層にて敗北し、
　ご主人様によってサキュバスの眷属として、
　生まれ変わりましたから。』",""
"メイドサキュバスはそう言葉を続ける。
眷属に生まれ変わらされた、
その言葉に、貴方は背筋に寒いものを感じた。",""
"<メイドサキュバスA>
『……誤解なさらぬよう。私は確かに、
　ご主人様によって魔物へと変えられてしまいましたが…
　そう酷いことをされたとは思っていませんよ。』",""
"<メイドサキュバスA>
『むしろ、敗北したにもかかわらず、
　この命を助けてくださっただけでも感謝すべきでしょう。
　この姿も、そんなに悪くないですしね。』",""
"<アル>
『んー……確かに、
　これまでの階層だと負けちゃったら、
　死んじゃうまでレベルを奪われちゃってたもんね。』",""
"<アル>
『それに比べたら、
　まだましな方なのかな……って、あれ？
　命……？』",""
"<メイドサキュバスA>
『さて、ここからが重要なお話です。
　心の準備はよろしいですか？』",""
"メイドサキュバスのその言葉に貴方は頷いた。",""
"<メイドサキュバスA>
『……実は、この世界はゲームなどではありません。
　この世界でのゲームオーバーは、
　死へと繋がるという恐ろしい世界なのですよ。』",""
"知ってた",""
"衝撃を受ける",""
"<アル>
『だよね！でも、
　なんでこの子はそれに気づけたんだろう？
　そっか、それが不思議だったんだ！』",""
"<アル>
『怪しい……くらいなら思えるかもだけど、
　事実として認めるって、
　多分魂について分かってないと出来ないことだもん！』",""
"アルは先ほどの違和感の正体に気づき、
1人でうんうんと納得したような反応を示す。
驚きを示さない貴方に、
メイドサキュバスの方が驚いたようだった。",""
"<メイドサキュバスA>
『……あら…
　これをご存知な侵入者は貴方が初めてです。
　皆さん、ここで初めて知ることになるのですが。』",""
"アルのような助言をする誰かが、
この階層にいるということだろうか……
貴方は、貴女は誰にそれを教わったのか、
と質問した。",""
"<アル>
『\n[1]！？私前におんなじこと言ったよ！？
　も、もしかして忘れてたの！？』",""
"アルが貴方の様子に、
衝撃を受けたようにそんな反応をする。
そう言えば、アルから聞いたことがある気がする…",""
"<アル>
『……あれ？
　でもじゃあこの子はどうやって知ったんだろ？
　魂についての理解がないと、断定は難しいと思うけど…』",""
"<メイドサキュバスA>
『ご主人様からお聞きしました。
　敗北し、実際に魔物に生まれ変わった時点で、
　ご主人様の話に嘘はないと実感しましたね。』",""
"<メイドサキュバスA>
『…ご主人様は、
　この世界で無益に失われる命について憂いています。』",""
"<メイドサキュバスA>
『ですから、ご主人様は女性を眷属、
　男性を家畜として生きながらえさせているのです。』",""
"<アル>
『男性は家畜……
　な、なんかちょっと不公平な気がするけど……』",""
"メイドサキュバスの言葉を聞いたアルはそう反応する。
……確かに、生きながらえさせると言っても、
男性の待遇があからさまに悪い気がする……",""
"<メイドサキュバスA>
『それは、
　ご主人様がサキュバスであることに起因します。
　男性は眷属にすることができないのです。』",""
"<メイドサキュバスA>
『そして……ご主人様はサキュバスであるがゆえに、
　男性の中に眠るエネルギーの取り扱いに長けているのです。
　それゆえに、男性は家畜となっているわけですね。』",""
"<メイドサキュバスA>
『ご主人様は私たちメイドが家畜から、
　搾り取ったエネルギーをあることに利用しております。
　それが何だかお分かりになりますか？』",""
"<アル>
『えー……なんだろ？
　エネルギーの活用法……んー？』",""
"メイドサキュバスの質問に、
貴方とアルは首をひねる。",""
"<メイドサキュバスA>
『貴方も2層を通ってここまでやってきましたよね？
　あの、快適な街そのものの運用……
　エネルギーはそのように使われています。』",""
"<アル>
『え、ええ～！？ど、どういうこと！？』",""
"貴方とアルは彼女の言葉に驚きを示す。
街の運用…つまり、彼女の言うご主人様が、
2層を管理している、ということだろうか。",""
"<メイドサキュバスA>
『ええ、そもそもあの街自体、
　ご主人様がおつくりになったものです。
　無駄な犠牲が増えないように、とそうお考えになって。』",""
"街の運用が、犠牲を避けるため…？
そう聞いても貴方にはあまりピンとこなかった。",""
"<メイドサキュバスA>
『……あの街は、ある意味で理想郷です。
　現実のように時間に追われることなく、
　自由な時間を過ごすことができる……』",""
"<メイドサキュバスA>
『1層のような、不自由もありません。
　あの街ではとても快適な生活が送れるのです。
　そうなると、人はどうするか…………』",""
"<メイドサキュバスA>
『答えは、明白です。
　先に進めるプレイヤーの中でも、
　街にとどまる者たちが現れます。』",""
"<メイドサキュバスA>
『つまり、
　ここまでやってきて無用な殺し合いを行うことを、
　事前に避けることができるのですよ。』",""
"<アル>
『な、なるほど…？
　ここにやってくる人を減らして、
　戦いが起きにくいようにしてるってことだよね…？』",""
"<アル>
『う～ん…でも、
　すっごい回りくどいと思うな…』",""
"<アル>
『もし犠牲を出したくない、って言うなら、
　みんなを先に進めてあげればいいだけなんじゃ……？』",""
"……確かに、アルのいう通りだ。
なぜ、そんな回りくどいことをするのか、
貴方はメイドサキュバスに尋ねた。",""
"<メイドサキュバスA>
『…ご主人様は、
　誰一人として先へと進ませたくないようです。
　それゆえに、今の方法をとられているのだと思います。』",""
"……それなら、
あの街は綺麗ごとを言いつつも、
実体はプレイヤーを足止めする罠なんじゃないだろうか。",""
"<メイドサキュバスA>
『いいえ、違います。
　あの街はご主人様の優しさです。
　なぜなら…………』",""
"<メイドサキュバスA>
『ご主人様は先へ進もうとするプレイヤーを、
　その気になれば全て迎え撃ち、
　皆殺しにすることも可能だからです。』",""
"<アル>
『み、みなごろし………
　で、でも、プレイヤーの中にはすっごい強い人もいるよ？
　ご主人様ってそんなに強いのかな…………』",""
"物騒な言葉にアルと貴方は息をのむ。
そして、ご主人様はそれほど強いのか、
とそう尋ねた。",""
"<メイドサキュバスA>
『そう、ですね。
　間違いなく高い実力を備えてはいるのですが……
　問題はそこではありません。』",""
"<メイドサキュバスA>
『構造として、
　どれだけレベルが高くともプレイヤーは、
　絶対にご主人様には勝てない様になっているのです。』",""
"構造として……？
彼女の言葉の意味がよく分からなかった。",""
"<メイドサキュバスA>
『……詳しいことはお話できません。
　ですが、プレイヤーである以上、
　”絶対に”ご主人様には勝てない様になっているのです。』",""
"<メイドサキュバスA>
『ですから貴方も、
　運がよかったと言えるでしょう。
　私に敗北し、家畜として命をつなげたのですから。』",""
"そう言葉を続けるメイドサキュバスに、
貴方は微妙な顔で反応する。
助かったことは嬉しいが、家畜……
いよいよその言葉に実感を持ってしまった。",""
