"EV001",""
"EV002",""
"EV003",""
"EV004",""
"EV005",""
"EV006",""
"EV007",""
"EV008",""
"EV009",""
"EV010",""
"EV011",""
"EV012",""
"『負けた方は、
　観客の前で犯されちゃうんだよねー♡
　アンタももし試合するなら気を付けなよ？』","""The loser gets violated before the whole audience♡
 That's why you should be careful if you're going to
 fight♡"""
"『もし負けちゃったら、
　みんなに馬鹿にされながら……
　恥ずかしい目に合わされちゃうから♡』","""It will be so embarrassing to lose and get violated
 while the audience is making fun of you♡"""
"『あ、もちろんその時は、
　私もアンタのこと思いっきり馬鹿にしてあげる♡』","""When that happens, I'll also naturally join them to 
 make as much fun of you as possible♡"""
"<アル>
『ま、負けないようにしないとね！
　みんなの前で犯されちゃうなんて、
　きっとすっごく恥ずかしいよ！』","<Al>
""\n[1], you need to avoid a loss with
 everything you have! Getting violated before the 
 audience would surely be so embarrassing!"""
"『あ、女の子のお尻に敷かれて、
　なっさけない負け方してた男じゃん♡
　よく私に話しかけられたね♡』","""Ah! Aren't you that miserable guy who lost while your
 opponent was sitting on your face? I can't believe 
 you would come to speak with the audience♡"""
"『なに？そんなに私に馬鹿にされたかったの？
　それならお望み通り罵倒してあげる♡
　ね？女のお尻に完敗した負け犬♡ざぁこ♡』","""What? Did you want me to make fun of you so badly? 
 Then I'll do just that♡ You're a loser who totally 
 lost under a girl's ass♡ A total pushover♡"""
"『…………あはは♡
　アンタ、勃起してるじゃん♡
　罵倒なんかで興奮するとか、
　もう男として終わってるね♡』","""...Ahaha♡ What's with that boner? Does it turn you on 
 when women verbally abuse you? Your life as a man is
 pretty much over already♡"""
"<アル>
『あぅぅ……
　違うもん……\n[1]は終わってなんかないもん……』","<Al>
""Auuh... No, that's not true... \n[1]'s
 life as a man isn't over..."""
"『なーに？
　私、勝った男になんて興味ないんだけど。
　私に興味を持ってもらいたかったら、
　試合で負けなさいよね♡』","""What? I'm not interested in men who have won. If you
 want to catch my interest, then lose your match♡"""
"<アル>
『ふーんだ！
　\n[1]だって貴方になんか興味ないもん！
　…………ないよね？』","<Al>
""Hmph! \n[1], isn't one bit interested in
 someone like you! ...You aren't, right?"""
"『この前投げキッスに完敗してた雑魚じゃん♡
　なに？私に馬鹿にして欲しくて話しかけてきたの？
　それとも……投げキッスのおねだりしに来たとか？♡』","""Oh, you're that pushover who lost when your opponent 
 blew kisses at you♡ What are you here for? Did you 
 come so that I would make fun of you? Or perhaps... 
 you came to beg for a blown kiss?♡"""
"そうです","That's right"
"違う","That's not it"
"『あはは♡
　じゃあさ、試合の時みたいなおねだり、
　今ここで私にもしてよ♡
　あ、もちろんおちんぽ見せながらね♡』","""Ahaha♡ Then beg me for it just like you did during 
 your match♡ Do it right here♡ Oh, and make sure to 
 take out your dick before you do it too♡"""
"にやにやと意地悪く笑う彼女に貴方は逆らえず、
その場でパンツを下ろしておねだりしてしまう。","You couldn't defy what the wickedly grinning woman told 
you to do. You pulled down your pants and begged her 
to blow a kiss at you."
"『ぷっ♡
　ほんとに脱いでおねだりしてるし♡
　アンタってほんとプライドとかないよね♡』","""Pfft♡ You're really begging for it with your dick
 out♡ You really don't have any pride as a man♡"""
"『ま、そこまで言うなら見せてあげる♡
　ほら、アンタが大好きな投げキッスしてあげるから……
　よーく見てなさい♡んー……ちゅっ♡』","""Well, since you're willing to go that far, I'll give 
 it to you♡ Watch closely as I blow you one of those
 kisses that you love so much♡ Mmmh... Smooch♡"""
"『あーあ♡
　すっごいとろけた顔しちゃって♡
　おちんぽもビクビク震えちゃったねー♡』","""Aa-ah♡ Your face turned so sloppy with that♡ Your 
 dick is twitching so hard too♡"""
"『宿に帰って、
　今の私の投げキッスを思い出しながら…
　1人でシコシコでもしてれば？ざぁこ♡』","""Why don't you go to the inn to touch yourself now that
 my blown kiss is fresh in your memory? You're such a 
 pushover♡"""
"<アル>
『\n[1]……
　あの子に負けて、まだすぐだもん…
　興奮しちゃったってしょうがないよ…？』","<Al>
""\n[1]... It's only been a short while
 since you lost to that girl, so it can't be helped 
 that you're getting turned on by that, right?"""
"『あはは♡
　その割には私の唇から目が離せないみたいだけど？♡
　ほんとはして欲しいくせに♡』","""Ahaha♡ You're saying that, but your gaze is glued 
 straight on my lips♡ I know how you actually want it 
 so badly♡"""
"『あーあ♡
　素直におねだりするなら、
　アンタの大好きな投げキッス♡
　してあげようと思ってたのになー♡』","""Too bad♡ If you had been honest and begged me for it, 
 I would given you one of those blown kisses that you 
 love so much♡"""
"金髪の女性はそう言いながら、
綺麗なピンク色の唇を指でなぞる。
ぷるんとみずみずしい彼女の唇に、
貴方は思わず生唾を飲み込んでしまった。","The blonde woman traced a finger across her lips after 
she said that. That sight of her beautiful, pink lips 
made you loudly gulp."
"『あれ？もしかして勃起してない？
　ぷっ♡唇見てるだけでおちんぽ大きくなったの？
　超だっさ♡弱すぎでしょ♡』","""Oh? Is that a boner I see? Pfft♡ Are you really  
 getting hard from just staring at my lips? You're so
 lame and weak♡"""
"『あはは♡
　なんで私に話しかけたの？
　馬鹿にされるって分かってたよね♡』","""Ahaha♡ Why did you come to talk to me? You knew that 
 I would only make fun of you, right?"""
"『どーせ、この前の試合のことで、
　最弱って馬鹿にされたかったんでしょ？
　この後もここにいる女の子全員に、
　馬鹿にしてもらうつもりなんでしょ？♡』","""After seeing your last match, I bet that you're here 
 for me to call you the weakest man ever♡ You're 
 planning to talk to all the women in the audience
 and have them all make fun of you, right?"""
"『ほんと、どうしようもない変態マゾ♡
　お前なんかがコロシアムで勝てるわけないじゃん♡
　一勝負け続けて気持ちよくなってろ♡ざぁこ♡』","""You're a hopeless masochistic pervert♡ Someone like
 you has no chance to win at the Colosseum♡ Why don't
 you keep your never-ending losing streak going and 
 enjoy how good it feels to lose? You small fry♡"""
"<アル>
『ち、違うよ！
　\n[1]はそんなつもりじゃない……
　そ、そうだよね？』","<Al>
""N-No! \n[1], doesn't have such plans!
 Y-You don't, right?"""
"EV013",""
"『あーあ、またあの子の負けだろーなー。
　つまんなーい。いい加減飽きてきたし、
　誰か新しい見せものになる人とか出てこないかなー。』","""Aa-ah. That pig is going to lose his match again. I'm 
 starting to get bored of seeing that face. Aren't 
 there any new pigs to put on the reverse rape show?"""
"<アル>
『み、見せもの……
　この子、可愛い顔してるのに、
　すっごい恐ろしいこと言ってるね…』","<Al>
""R-Reverse rape show...? I can't believe a girl with
 such a cute face is saying so terrible things..."""
"『きゃは♡
　この前すっごい負け方してたお兄ちゃんじゃん♡
　よくここに顔出せたね♡
　馬鹿にされるって分からなかったのぉ？♡』","""Kyaha♡ You're that guy who lost the match in so 
 miserable way♡ I can't believe you would show your
 face here♡ Did you not think it that we would make 
 fun of you if you came to the audience?"""
"<アル>
『あぅ……
　\n[1]、ここの人たちは前の試合見てるんだし……
　あんまり話しかけないほうがいいと思うな…』","<Al>
""Auuh... \n[1], all the people here must
 have seen your match. I don't we should talk to
 them..."""
"『次の試合まだかなー♡
　面白い見せ物だったらいいなー♡』","""When's the next match starting? I can't wait to see 
 some pigs lose and put on the reverse rape show♡"""
"<アル>
『……この子、
　多分根っからのサディストだよねー……』","<Al>
""...I think this girl is a sadist to the core."""
"『お兄ちゃーん♡
　私の唇、よーく見てて？
　んー……ちゅっ♡』","""Oh♡ You there♡ Take a look at my lips♡ Mmmmh.... 
 Smooch♡"""
"『……きゃは♡
　一瞬でおちんちん大きくなっちゃった♡
　やっぱり投げキッスに弱いんだ～♡』","""...Kyaha♡ You instantly popped a boner with that♡
 As I thought, you're super weak to blown kisses♡"""
