"恭子自宅",""
"<恭子>
『あら、どなたですの？
　用があるなら1階の六花を通して頂戴。』",""
"<恭子>
『貴方は………
　うふふ♡六花に負けたプレイヤーですわね♡』",""
"<恭子>
『お礼を言いますわ♡
　貴方のおかげで六花がやっと、
　私に賞金を持ってくるようになったんですもの♡』",""
"<恭子>
『ほら、これがこの前持ってきたお金♡
　うふふ♡元をただせば貴方のお金かしら♡』",""
"恭子は貴方の前でお金を見せつけ、
嘲るような声色でそう言った。",""
"<アル>
『うぅ…………！
　次は、\n[1]が勝つんだからね……
　ね、早くこんな家、でよ…？』",""
"貴方は屈辱に顔を歪めながらも、
どうすることもできず、アルに頷いた。",""
"貴方はそんな彼女の煽るような行為に屈辱を煽られながらも、
どうすることもできず俯くことしかできなかった。",""
"<恭子>
『あらあら♡
　六花に負けっぱなしの雑魚プレイヤーが、
　ここで一体何をしてるのかしら♡』",""
"<恭子>
『ここは貴方みたいな情けない男が、
　気軽に入っていい場所じゃありませんのよ♡
　1階で適当に六花に相手をしてもらいなさい♡』",""
"恭子は嘲笑を浮かべながら、
貴方に出ていくよう命令する。",""
"<アル>
『うぅ…………！
　\n[1]…ここにいると気分悪くならない…？
　外に、でよっか…………』",""
"アルは貴方を気遣うような声色で、
そう促した…………",""
"貴方は屈辱を感じながらも、
恭子に何も言い返すことが出来なかった。",""
"<恭子>
『あらあら♡
　私に勝負を挑んだ愚か者が、
　どうしてこんなところにいるんですの？』",""
"<恭子>
『貴方の自由時間は、
　試合のその日までしかありませんのよ♡
　もっとやりたいことがあるのではなくて？』",""
"<恭子>
『私の奴隷となる前に、
　せいぜい悔いのないように過ごしなさい♡』",""
"<アル>
『\n[1]は貴女なんかに負けないもん！
　頑張ろうね、\n[1]！
　勝ってあの子を助けよう！』",""
"そう激励を送るアルに貴方は頷いた。",""
"<アル>
『う、うぅ……
　ど、奴隷にされるわけにはいかないもんね………
　頑張ろ、\n[1]……！』",""
"<恭子>
『あら、気が変わりましたの？
　いつでも貴方のことを奴隷として歓迎しますわよ♡』",""
"<アル>
『う～…まだあきらめてないの？
　ね、また罠にかかっちゃう前に早くここから出よ？』",""
"<恭子>
『あら、買い出しはもう終わりましたの？
　…………まだ？それならどうして、
　そんな風に油を売っているのかしら。』",""
"<恭子>
『ご主人様を待たせるだなんて、
　ダメな奴隷ですわね♡
　そんなに私にお仕置きされたいですの？♡』",""
"<アル>
『う、うー…
　ね、\n[1]、今はこの子に逆らえないんだし…
　早く買い出しに行こ……？』",""
"EV002",""
"<六花>
『あはは…♡
　恭子さまぁ？私に顔を踏まれて、
　随分みっともない姿ですね……♡』",""
"六花はぐりぐり彼女の頬を、
小さな足で踏みつけている。",""
"<恭子>
『うぐ……六花……！
　こ、こんなことをしてただじゃおきませんわ、よ…！』",""
"<六花>
『ふ、ふふ♡
　今の恭子様に何ができるって言うんですか？
　惨めな奴隷の貴女なんかに…♡』",""
"<六花>
『なんにもできはしませんよ…♡
　奴隷はそういうものなんだって……
　教えてくれたのは恭子様、ですよね！！』",""
"<恭子>
『うぐっ……！』",""
"<六花>
『くす…♡苦しそうですね、恭子様♡
　どうですか？倒れてるのに、
　お腹を蹴られるのはつらいですよね？』",""
"<六花>
『よーく感じてくださいね！
　貴女が、私に、し続けてきたことなんですから！！』",""
"<恭子>
『あぐっ、あがっ、げほっ……
　や、やめ、もう…………』",""
"<六花>
『やめてなんてあげませんよ…♡
　私は恭子様のご主人様から、
　「仕返し」の許可を頂いてるんですから…♡』",""
"<六花>
『これからもずっと、
　こうして恭子様のことを……♡
　「可愛がって」あげますからね！』",""
"<六花>
『はぁ……はぁ…♡
　あ、恭子様のご主人様……♡
　この床に転がってるの、使いますか…？』",""
"六花はぐりぐり彼女の頬を、
小さな足で踏みつけながらそう尋ねる。",""
"使う","User her"
"使わない","Don't use her"
"<六花>
『分かりました…♡
　先に私だけ楽しんでしまって、すみません…♡
　それでは、どうぞお楽しみを…♡』",""
"EV003",""
"EV004",""
"EV005",""
"<恭子>
『あら、もう準備はよろしくて？』",""
"はい",""
"いいえ",""
"<恭子>
『そうですの♡それでは始めましょうか♡　
　おっぱいに堕ちた貴方がどの程度あらがえるか…
　楽しみですわね♡』",""
"<恭子>
『まだ覚悟ができていませんの？
　早くしないと、私の気が変わってしまいますわよ♡』",""
"EV006",""
"EV007",""
"これ以上先へは進めないようだ…",""
"今ここから離れるわけにはいかない…",""
"EV008",""
"<六花>
『頑張ってください！
　私は貴方のこと…信じてますから！』",""
"<アル>
『…この子のためにも、
　今回は絶対負けられないね！
　気合を入れて頑張ろ……！』",""
"EV009",""
"EV010",""
"EV011",""
"回想部屋に戻りますか？",""
