"EV001",""
"EV002",""
"EV003",""
"EV004",""
"<未来>
『いらっしゃい、\n[1]。
　よく来たね、ここが私のおうちだよ。』","<Mirai>
""\n[1], welcome to my home."""
"<未来>
『大したもてなしはできないけど…………
　何か飲んでく？』","<Mirai>
""I don't anything fancy to offer, but would you like
 a drink?"""
"<アル>
『わーい♪私、甘いジュースが飲みたい！』","<Al>
""Yay♪ I want sweet juice!"""
"<未来>
『どう？あれから調子は？　
　ボスを倒せて気が緩むのは分かるけど、
　1層よりも外の敵は強いから油断しないようにね。』","<Mirai>
""\n[1], how have you been doing?""


<Mirai>
""You might want to let loose after beating a boss, but
 you need to be careful with the monsters of the second
 floor. They're much stronger than on the first."""
"<アル>
『勝って兜の…………えっと、なんだっけ？
　とにかく、この子の言うように油断は禁物だね！』","<Al>
""Tighten your helmet strings in the hour of victory,
 or how does the saying go? At any rate, we should be
 careful as she said!"""
"<未来>
『あ、\n[1]…………えっと、大丈夫？　
　この前の試合…………』","<Mirai>
""Ah, \n[1]... Um, are you alright?
 I saw your last match..."""
"未来が貴方を案じるようにそう言葉を投げかける。
どうやら彼女はあの試合を見ていたようだ。","Mirai anxiously asked if you were alright."
"<未来>
『質の悪い新人狩りにあっちゃったね……
　ごめん、注意しておくべきだったかも』","<Mirai>
""It turned into a nasty newbie hunt... I'm sorry.
 I should have warned you about them."""
"未来はそう気まずそうに謝罪する。","Mirai looked down and apologized."
"未来は悪くない","It's not your fault"
"お前のせいだ","It's your fault"
"<未来>
『ありがと、そう言ってくれると気は楽になる、かな。
　今更遅いと思うけど、コロシアムでは気を付けてね。』","<Mirai>
""Thank you. I feel easier when you say that.
 It's a bit late, but be careful at the Colosseum."""
"未来はぎこちない笑みでそう言葉を口にする。
言葉とは裏腹にまだ後悔しているようだった。","Mirai said that with a slightly stiff smile. While she
said that she felt easier, she still seemed to regret
not warning you in time."
"<アル>
『この子、まだ結構気にしてるみたいだね…
　次はあの子に勝って、安心させてあげよ！』","<Al>
""It looks like she's still quite worried... Let's give
 her peace of mind by winning our next match!"""
"貴方はアルの言葉に頷いた。","You nodded to Al."
"<未来>
『う、そうだよね、恨んでるよね………
　ほんと、ごめん…………』","<Mirai>
""Uuh... Yes, you would resent me after all...
 I'm really... Really sorry..."""
"<アル>
『\n[1]…その、気が立っちゃうのは分かるけど……
　この子に八つ当たりしちゃダメだよ？』","<Al>
""\n[1]... I know that you're angry, but you
 shouldn't take it out on her."""
"あたりを気まずい沈黙が支配した。","Awkward air filled the room."
"<未来>
『なんだか、凄い強い人に当たっちゃったみたいだね。
　大丈夫、\n[1]？』","<Mirai>
""\n[1], I saw how you ended up facing
 a really strong opponent. Are you alright?"""
"<未来>
『たまにいるみたいなんだよね、そういう人が。
　運が悪かったと思って、気にしないほうがいいと思うよ？』","<Mirai>
""Sometimes things like that happen. It was simply bad
 luck, so you shouldn't let it get you down."""
"未来が落ち込む貴方にそう慰めの言葉をかける。","Mirai comforted you as you felt down."
"<アル>
『あの子、本当に強かったね…
　\n[1]、無理、しないでね？』","<Al>
""That girl was really strong... \n[1],
 please don't let it get to you."""
"<未来>
『あ、\n[1]、あれから大丈夫だった？
　また優香に無理やりPvPをしかけられたとか…』","<Mirai>
""Ah, \n[1]. Have things been fine after
 running into Yuuka? She hasn't tried to force
 you into a fight again, has she?"""
"そう尋ねる未来に、貴方は大丈夫だと伝え、
改めてあの時のことへの感謝を伝えた。","You told Mirai that you've been fine and thanked her
again for the help when Yuuka tried to fight you in
the city."
"<アル>
『ね！あの時は本当に助かったよ！
　ありがとう♪』","<Al>
""Yeah! She really saved us back there!
 Thank you♪"""
"<未来>
『いいっていいって♪
　あの時も行ったけどそれが私の仕事でもあるんだしね。
　これからも何かあったら頼っていいよ？』","<Mirai>
""Oh, don't worry about it♪ I said it back then too,
 but that is part of my job. You can even ask me for
 help if something or someone bothers you again."""
"未来はくすくすと笑いながらそう告げた。
…彼女には世話になりっぱなしだ。
いつか恩返しができたら、とそう考える。","Mirai told you not to worry about it with a slight
giggle. She's looked after you so much, that you
wanted to repay this kindness somehow."
"<未来>
『そんなに気にしなくていいってば♪…まぁいつか、
　強くなって気が向いたらバンガードに入ってくれると…
　ああ、いや、でもなぁ～……』","<Mirai>
""You don't need to worry about that♪. ...Well, if you
 wanted to join the Vanguard when you're strong...
 Oh, but that would..."""
"未来はそう途中で言葉を濁した。
そんな彼女を不思議に思い、どうしたのかと貴方は尋ねる。","Mirai suddenly stopped in the middle of her sentence.
You wondered what happened and asked what's wrong."
"<未来>
『ん～…まぁ、これはあくまで私の感想なんだけど…
　なんか最近バンガードも変わってきてる気がするんだよね。
　こう、悪い方向に。』","<Mirai>
""Hmm... Well, this is my personal impression,
 but I feel like the Vanguard has changed recently.
 And that is not in a good way."""
"<未来>
『最初は単純に、
　このゲームで嫌な思いをする人が少なくなるように、
　ってそんな目的で活動してたんだけど…』","<Mirai>
""In the beginning, our goal was simply to reduce the
 bad-doers in this game..."""
"<未来>
『最近は自分たちが偉いと思っているというか、
　困ってるって依頼も選別するようになったり…
　悪いことでも見過ごすことが増えたり…』","<Mirai>
""But recently, some of the requests we receive get
 overlooked even when there's clearly someone in
 trouble, among other things..."
"そう言いながら未来はため息をつく。
どうやらバンガードも完全な正義の味方、
というわけではないらしい…","Mirai sighed after her explanation. It turns out that
the Vanguard isn't the perfect ally of justice."
"<アル>
『う～…なんかちょっとがっかり…
　あんまりよくないメンバーもいるってことなのかな…？』","<Al>
""Uuh... That's a bit disappointing to hear...
 Does that mean they have bad members too?"""
"<未来>
『……っと、ごめんごめん。
　こんなこと愚痴っても仕方ないよね。
　私は私にできることをやらないと！』","<Mirai>
""...Oh, sorry. My grumbling won't help the situation.
 I need to focus on doing what I can!"""
"未来は憂鬱そうな顔を引き締めると、
にこりと笑ってそう告げた。
そんな未来に貴方は、
未来は凄いなとそう言葉をかける。","Mirai shook away her sad look and faced you with
a smile again. You told her that she's amazing what
she does."
"<未来>
『あはは、ありがと♪
　少しは先輩っぽく、凄い所を見せとかないとね♪
　私ってほら、身長小さいからなめられやすいし…』","<Mirai>
""Ahaha♪ Thank you♪ I need to show off how I'm the
 senpai in the city♪ You see, people often belittle
 me because I'm short..."""
"先輩！尊敬してます！","I respect you, Senpai!"
"確かにちっちゃい","You're certainly on the short side"
"<未来>
『ふふ～、そうでしょ？
　苦しゅうないぞ、後輩君♪
　その調子でもっと先輩を敬いなさい♡』","<Mirai>
""Ehehe♪ I won't object to that, Mr. Kouhai♪
 Keep that up and honor me even more♡"""
"<未来>
『……なんてね♪
　まぁ、私は先輩として頑張るから、
　\n[1]は\n[1]で頑張ってね？』","<Mirai>
""...Just kidding♪ But I'm working hard as the senpai,
 so you should also work hard in your own way,
 \n[1]♪"""
"<未来>
『やっぱりこの街では、
　強くなっておくことに越したことはないんだもん。
　お互い、頑張ろうね♪』","<Mirai>
""It is better to become strong in this city.
 Let's do our best likewise♪"""
"<アル>
『そうだね！よーし、
　たくさんレベル上げがんばろー♪』","<Al>
""She's right! Okay, let's get to grinding those
 levels♪"""
"<未来>
『お、いい度胸してるね。
　なんなら私とPvPでもしてく？
　…お仕置き、してあげよっか？♡』","<Mirai>
""Oh, you have some nerve... Then, would you like to
 have a PvP match with me? I'll wipe the floor with
 you♡"""
"<アル>
『め、めちゃくちゃ怖いよ！？
　この子、本気出したらあの子にも勝てたんじゃ…
　と、とにかくごめんなさいしないとだね！』","<Al>
""S-Scary! That strong girl wouldn't stand a chance
 if she got serious... A-At any rate, you should
 apologize!"""
