"小悪魔A","Imp A"
"<小悪魔A>
『弱そうな人間さん見っけ♡
　大人しく私に倒されてー？♡』","<Imp A>
""A weak-looking human spotted♡
 Just obediently let me beat you♡"""
"弱くない","I'm not weak"
"君の方が弱そう","You're the one who looks weak"
"<小悪魔A>
『えー？でもほかの人間さんより弱そうだよ？　
　迫力がないって感じ♪』","<Imp A>
""Eh? But look way weaker than the other humans.
 I can barely feel any strength from you♪"""
"<アル>
『\n[1]、
　あの子にレベル取られちゃったしね…
　他の人よりは弱いんじゃないかな…？』","<Al>
""\n[1], it's probably because of the level
 drain. That girl took your levels after all."""
"<小悪魔A>
『大人しくしてたら、
　たくさん気持ちよくしてあげるよー♡
　だから、遠慮せずに負けちゃってね♪ん～……ちゅっ♡』","<Imp A>
""Obediently follow my orders, and I'll make you feel
 amazing♡ Don't hold back in losing to me♪
 Mmmh... Smooch♡"""
"小悪魔は自身の唇に手を当てて、
貴方目掛けて可愛らしく投げキッスをする。","Imp placed her hand on her lips and cutely blew a kiss
at you."
"幼く見える容姿に不釣り合いな露出の多い衣装と、
妖艶にも見える投げキッスの動きに貴方は見惚れてしまう。","You couldn't help getting charmed when she seductively
blew a kiss at you and her clothes were unnaturally
revealing for someone of her age."
"<アル>
『\n[1]、しっかり！この魔物も、
　さっきの子みたいにエッチな攻撃してくると思う！
　ちゃんと気持ちいいのに負けず、頑張ってね！』","<Al>
""\n[1], get a grip! The monster is going to
 use lewd attacks just like that girl!
 Don't lose to the pleasure!"""
"貴方はアルの激励に理性を取り戻し、
首を振って一旦心を落ち着かせてから、
魔物に向かって武器を構えた。","Al's warning made you regain your senses. You shook
your head to calm down, and then posed your sword at
the monster."
"<小悪魔A>
『ふふ♡投げキッスなんかでドキッとしちゃうような、
　弱い人間さんには負けないよー♡
　精液搾り取って、気持ちよく負けさせてあげるね♪』","<Imp A>
""Ahaha♡ I won't lose to a weak human who gets
 flustered from a blown kiss♡ I'll show you an
 amazing loss as I milk your semen♪"""
"<小悪魔A>
『そ、そんなことないもん！
　確かに私はここでは一番弱いけど…………』","<Imp A>
""T-That's not true! Although it would be a lie to say
 that I'm not the weakest of the monsters..."""
"<小悪魔A>
『で、でも人間さんには負けないからね！
　私のこと、弱そうって言ったこと後悔させてあげる♡』","<Imp A>
""B-But I'm still plenty of strong to beat a human!
 I'll make you regret calling me weak♡"""
"<小悪魔A>
『ちゅぅって私に精液吸い出されて、
　あへあへ言いながらゲームオーバーになっちゃえ♡
　ん～…ちゅっ♡』","<Imp A>
""I'll suck out your semen with kisses, so just
 hopelessly moan as I beat you♡ Mmmh... Smooch♡"""
"<小悪魔A>
『くすくす♡私のこと弱そうって言ってたくせに、
　投げキッスだけでドキッてしちゃったんでしょ？』","<Imp A>
""Ahaha♡ You called me weak, but look who's getting
 excited just from getting a kiss blown at them♡"""
"<小悪魔A>
『よわ～い人間さん♡
　たくさん気持ちよくなって、
　びゅるびゅるおもらししちゃおうね～♡』","<Imp A>
""You're such a weak human♡ I'll make you feel amazing
 with my kisses and then you just can't help splurting
 your semen♡"""
"なんだか小悪魔との戦い方が分かった気がする…………","You somehow understood how battles against monsters
work after fighting the imp."
"チュートリアル『カードについて』
初めて倒した雑魚モンスターはそのモンスターの
名前がついたカードを必ずドロップします。","『Tutorial: Cards』
Defeating a normal monster for the first time will make
their card drop."
