"EV001","",""
"<可憐>
『あ、\n[1]君♪
　今日の分のノルマは終わったんだ？
　お疲れ様♪』","",""
"<可憐>
『今夜も\n[1]君が溜めた経験値、
　昨日みたいにおまんこで搾ってあげるから……
　楽しみにしててね♡』","",""
"可憐のその言葉と笑みに、
貴方は思わず勃起してしまった………","",""
"<可憐>
『ふふ♡待ちきれないって感じかな？
　慌てなくてもちゃんと気持ちよくしてあげるから、
　いい子で待っててね？ちゅっ♡』","",""
"<アル>
『うぅ～……
　搾り取られる前に、
　なんとか家畜から抜け出さなきゃね…』","",""
"<可憐>
『……やっぱり脱走なんてせずに、
　こうして平和な毎日を暮らしてたほうがいいと思うよ？
　ね、私も話相手くらいにならなるから♪』","",""
"<アル>
『うぅ～……そういうわけにもいかないよ…
　この前は脱走に失敗しちゃったけど…
　今度こそ抜け出そうね？』","",""
"EV002","",""
"『元々はこのエリアの奥の方が私たちの居住区でした。
　しかし、人数がいっぱいになってしまったので、
　急遽此方の半分を居住区に改築することになったのです。』","",""
"『…ええ、居住区の建物を広げるエネルギーの余裕すら、
　今の私たちにはありません。
　正直、かなり危うい状態なのです。』","",""
"『やはり、ここに来るプレイヤーの大半が、
　女性であることが原因でしょう。
　全く、男性にはもっと頑張っていただかないと……』","",""
"『このままではいずれ、
　家畜からのエネルギーの供給よりも、
　使用エネルギーの方が多くなってしまうのは明白です。』","",""
"『そうなれば貴方たち家畜のノルマも、
　今よりももっと厳しいものになるでしょうね……』","",""
"<アル>
『中々事情は厳しいんだね……　
　かなり回りくどくて無茶なことしてるんだもん…
　そりゃ、いつか破綻しちゃうよ……』","",""
"EV003","",""
"『ご主人様は最近、
　エネルギー収支に頭を悩ませてるみたい。
　そのうちアンタ達のノルマ、
　もっと厳しくなっちゃうかもね。』","",""
"<アル>
『い、今でさえ大変なのに……
　これ以上ってなったら、
　倒れちゃう人も出てきちゃうよ……』","",""
"EV004","",""
"『お、家畜くん。
　ここはほぼ居住区だから、
　見てて楽しいものは何もないよ～。』","",""
"『遊びたいなら2階へ行っておいで。　
　………それとも、静かなのが好きなら、
　ゆっくり私のお酒に付き合ってみる？』","",""
"<アル>
『ここは落ち着いた雰囲気だよね♪
　こういうところでお酒飲んでると、
　大人って感じがして憧れちゃうな～♪』","",""
"EV005","",""
"『ふぅ……
　このバーでゆっくりするのが私の楽しみなんです。
　ここまで侵入者がくることはまれですし、
　落ち着いてお酒が飲めるんですよ。』","",""
"<アル>
『おー…
　なんかこういうこと聞くと、脱走したときに、
　ここを通るのちょっと罪悪感感じちゃうよね…』","",""
"EV006","",""
"『ここは憩いの場所であるのと同時に、
　侵入者を迎え撃つ最後の砦でもあるのです。
　…………と、私は思っています。』","",""
"『まぁ実際はメイド長が最後の砦なのですが。
　彼女の手を煩わせないという意味で、
　ここが最後の砦だという意識を持つことが重要なのです。』","",""
"<アル>
『なるほど…
　もし脱走して先を目指すってなったら、
　ここも要注意ってことだね！』","",""
"EV007","",""
"『ここが私たちのお部屋です。
　実は貴方たち家畜の部屋と大差ない広さなのですよ。
　意外と狭いと思いませんか？』","",""
"<アル>
『確かに！
　家畜とご主人様、って思うと、
　もう少しお部屋は大きいのかな～って思ってたよ！』","",""
"EV008","",""
"<優香>
『あ～、もう、なんで私が……
　あのチート女………イライラする～！！』","",""
"見栄覚えのある少女が、
顔を歪めてぶつぶつと文句を言っている。","",""
"<アル>
『この子は……
　う、嘘でしょ？
　この子でもボスに勝てなかったの……？』","",""
"どう見ても魔物に変えられている少女を見て、
貴方とアルは驚きを感じた。
彼女はこれまで戦った相手の中でも、
突出した実力を持っていたはずだ。","",""
"<優香>
『ん……？アンタは……
　ふん、家畜に堕とされたんだ？てことは、
　ここのメイドの誰かに負けたってわけね。ざっこ♡』","",""
"貴方に気が付いた優香は、
馬鹿にしたような笑みを浮かべてそう言い放つ。","",""
"<アル>
『う～……！
　じ、自分だって負けて、
　魔物に変えられちゃったくせに……！』","",""
"彼女のその発言に、
貴方もあると同様のことを感じ、
お互い様だとそう反論した。","",""
"<優香>
『ぐ、うっさい！
　私はアンタとは違うの！！
　実力なら絶対私が上だったし！』","",""
"<優香>
『なのにここのボスときたら、
　インチキみたいな技使ってきて……！
　ほんと、あんなのチートよ、かんっぜんにチート！！』","",""
"優香は再び顔を歪めると、
納得できないという風にそう吐き捨てる。
一体、ボスに何をされたんだろうか……","",""
"<アル>
『…ねぇ、ボスについて少し聞いてみる？
　家畜から抜け出した後、
　先に進むために戦わなきゃだもんね。』","",""
