"EV001",""
"扉には文字が書かれてある。
『汝、3つの証を示せ』
そう書かれてある文字の下に、くぼみが3つあった。","Something is written on the door:
""Take out the three medals.""
Then there are three round holes below the writing."
"<アル>
『これが、あの子が言ってた証が必要な扉なのかな？
　またコロシアムで3つ集めたらここに来ようね♪』","<Al>
""Is this the door what that woman told us about? The
 one that needs three medals to open. Let's come again
 after we've gained all three from the Colosseum♪"""
"<アル>
『ここに3つの証を埋め込めばいいのかな！
　\n[1]、先に進む準備はできてる？』","<Al>
""I guess the medals go into these holes.
 \n[1], are we ready to enter the mansion?"""
"ここにもらった3つの証を埋め込めば、先に進めそうだ。
準備は良いだろうか。","It looks like you can move forward by placing the three
medals here. Are you ready?"
"先に進む","Move onward"
"準備をする","Back off"
"<アル>
『よーし、じゃあ、先にすすも！
　中はどんな感じになってるのかな…！』","<Al>
""Okay, let's go! I wonder what's it like inside the
 mansion?"""
"7月体験版はここまでとなります。
ご支援、プレイ、ありがとうございました！","The July trial version ends here. Thank you for the
test playing!"
"<アル>
『街でやり残したことがあった？
　もしかしたらもう戻ってこれないかもだから、
　気が済むまで準備しようね！』","<Al>
""Do you still have something to do in the city?
 We might not be able to return after going in,
 so we should do everything we want first!"""
"EV002",""
"EV003",""
"街まで戻りますか？","Teleport to the city?"
"はい",""
"いいえ",""
"EV004",""
"EV005",""
"EV006",""
"EV007",""
"『この先に進むなら、よく準備したほうがいいわよ。
　何せこの先に進んで返ってきた人はいなんだもの。』","""You should prepare well before entering the mansion.
 Not a single person has come back after going in."""
"『みんなゲームオーバーになったのか、
　それともクリアしたのかは分からないけど……
　どちらにせよ先に進んだら、
　戻ってこれないって考えたほうがいいでしょうね。』","""We don't know if they managed to clear the gave or
 got a game over.. But in either case, you should go
 in with the mindset that you won't return."""
"<アル>
『な、なんかちょっと怖いね……
　\n[1]、町でやり残したことはない？
　しっかり準備してから先に進もうね！』","<Al>
""T-That sounds a bit scary... \n[1], do you
 still have things to do in the city? We should
 go in only after we're fully ready!"""
